Report_Type,Dataset,Hour,Baseline_WAPE,Baseline_MAE,Baseline_RMSE,Baseline_MAPE,Baseline_sMAPE,Baseline_Broj_redova,GRU_WAPE,GRU_MAE,GRU_RMSE,GRU_MAPE,GRU_sMAPE,GRU_Broj_redova,WAPE_Difference_Baseline_minus_GRU,WAPE_Improvement_percent,MAE_Difference_Baseline_minus_GRU,MAE_Improvement_percent,RMSE_Difference_Baseline_minus_GRU,RMSE_Improvement_percent,MAPE_Difference_Baseline_minus_GRU,MAPE_Improvement_percent,sMAPE_Difference_Baseline_minus_GRU,sMAPE_Improvement_percent
hourly,validation,0.0,62.4385,0.3937,0.6474,68.7881,48.2491,211,35.5184,0.2246,0.331,35.662,33.4827,209,26.9201,43.1146,0.1691,42.9515,0.3164,48.8724,33.1261,48.1567,14.7664,30.6045
hourly,validation,1.0,56.1306,0.2972,0.5043,58.012,43.0154,211,32.8034,0.1744,0.3002,28.2719,27.2522,209,23.3272,41.5588,0.1228,41.319,0.2041,40.4719,29.7401,51.2654,15.7632,36.6455
hourly,validation,2.0,49.8534,0.2396,0.3993,49.3907,38.4913,211,30.3121,0.1453,0.2373,28.0614,25.5805,209,19.5413,39.1975,0.0943,39.3573,0.162,40.571,21.3293,43.1849,12.9108,33.5421
hourly,validation,3.0,45.6695,0.1972,0.3458,43.3486,34.3108,211,32.653,0.1414,0.2124,32.2438,27.5452,209,13.0165,28.5015,0.0558,28.2961,0.1334,38.5772,11.1048,25.6174,6.7656,19.7186
hourly,validation,4.0,43.3007,0.178,0.3065,40.4249,33.4652,211,32.6322,0.1344,0.2103,30.8065,27.7431,209,10.6685,24.6382,0.0436,24.4944,0.0962,31.3866,9.6184,23.7933,5.7221,17.0987
hourly,validation,5.0,45.9696,0.2014,0.3378,43.2066,35.3947,211,39.4614,0.1732,0.227,40.8877,35.4071,209,6.5082,14.1576,0.0282,14.002,0.1108,32.8005,2.3189,5.367,-0.0124,-0.035
hourly,validation,6.0,48.9408,0.4053,0.5012,60.3116,50.7979,211,38.3013,0.3161,0.3994,47.2395,38.4955,209,10.6395,21.7395,0.0892,22.0084,0.1018,20.3113,13.0721,21.6743,12.3024,24.2183
hourly,validation,7.0,50.5508,0.8956,1.1689,103.4922,59.9264,212,29.2518,0.5179,0.6293,50.22,36.874,210,21.299,42.1339,0.3777,42.1728,0.5396,46.1631,53.2722,51.4746,23.0524,38.4679
hourly,validation,8.0,35.7988,0.5906,0.779,54.6695,40.6953,212,24.7339,0.4078,0.5091,35.9728,27.5437,210,11.0649,30.9086,0.1828,30.9516,0.2699,34.647,18.6967,34.1995,13.1516,32.3172
hourly,validation,9.0,35.221,0.5469,0.7141,49.3747,39.0704,212,22.6504,0.3513,0.4686,33.4337,24.8108,210,12.5706,35.6906,0.1956,35.7652,0.2455,34.3789,15.941,32.2858,14.2596,36.4972
hourly,validation,10.0,36.2394,0.5476,0.7574,49.5657,38.7436,212,23.0965,0.3492,0.4761,31.2934,24.4012,210,13.1429,36.2669,0.1984,36.2308,0.2813,37.1402,18.2723,36.8648,14.3424,37.0188
hourly,validation,11.0,50.0026,0.7547,1.0461,77.1912,51.9694,212,27.6171,0.417,0.6251,41.7312,29.9737,210,22.3855,44.7687,0.3377,44.7463,0.421,40.2447,35.46,45.9379,21.9957,42.3243
hourly,validation,12.0,59.8474,0.8728,1.1895,91.0737,60.6238,212,29.6721,0.4322,0.6157,45.0347,32.6844,210,30.1753,50.4204,0.4406,50.4812,0.5738,48.2388,46.039,50.5514,27.9394,46.0865
hourly,validation,13.0,65.2538,0.8856,1.09,112.9186,69.7378,212,31.1667,0.4224,0.5691,46.462,35.9373,210,34.0871,52.2377,0.4632,52.3035,0.5209,47.789,66.4566,58.8535,33.8005,48.468
hourly,validation,14.0,72.7214,0.9118,1.1692,128.2103,73.6392,212,35.3191,0.4419,0.6192,48.8399,37.9736,210,37.4023,51.4323,0.4699,51.5354,0.55,47.0407,79.3704,61.9064,35.6656,48.4329
hourly,validation,15.0,75.7994,0.901,1.2329,117.0356,71.5164,211,37.5945,0.4476,0.6515,46.8592,38.3776,209,38.2049,50.4026,0.4534,50.3219,0.5814,47.1571,70.1764,59.9616,33.1388,46.3373
