Report_Type,Dataset,Baseline,Hour,WAPE,MAE,RMSE,MAPE,sMAPE,Broj_redova
summary,validation,lag_24h,,53.045,0.6624,0.955,74.7894,52.0735,5072
summary,test,lag_24h,,53.4677,0.5123,0.7611,66.8003,49.2873,5073
hourly,validation,lag_24h,0,62.4385,0.3937,0.6474,68.7881,48.2491,211
hourly,validation,lag_24h,1,56.1306,0.2972,0.5043,58.012,43.0154,211
hourly,validation,lag_24h,2,49.8534,0.2396,0.3993,49.3907,38.4913,211
hourly,validation,lag_24h,3,45.6695,0.1972,0.3458,43.3486,34.3108,211
hourly,validation,lag_24h,4,43.3007,0.178,0.3065,40.4249,33.4652,211
hourly,validation,lag_24h,5,45.9696,0.2014,0.3378,43.2066,35.3947,211
hourly,validation,lag_24h,6,48.9408,0.4053,0.5012,60.3116,50.7979,211
hourly,validation,lag_24h,7,50.5508,0.8956,1.1689,103.4922,59.9264,212
hourly,validation,lag_24h,8,35.7988,0.5906,0.779,54.6695,40.6953,212
hourly,validation,lag_24h,9,35.221,0.5469,0.7141,49.3747,39.0704,212
hourly,validation,lag_24h,10,36.2394,0.5476,0.7574,49.5657,38.7436,212
hourly,validation,lag_24h,11,50.0026,0.7547,1.0461,77.1912,51.9694,212
hourly,validation,lag_24h,12,59.8474,0.8728,1.1895,91.0737,60.6238,212
hourly,validation,lag_24h,13,65.2538,0.8856,1.09,112.9186,69.7378,212
hourly,validation,lag_24h,14,72.7214,0.9118,1.1692,128.2103,73.6392,212
hourly,validation,lag_24h,15,75.7994,0.901,1.2329,117.0356,71.5164,211
hourly,validation,lag_24h,16,76.8996,0.8999,1.1684,119.9874,74.859,211
hourly,validation,lag_24h,17,72.6978,0.9656,1.3101,107.087,68.9868,211
hourly,validation,lag_24h,18,56.4818,0.9224,1.2347,72.7849,56.4683,211
hourly,validation,lag_24h,19,43.8329,0.9117,1.1345,58.3159,46.8889,211
hourly,validation,lag_24h,20,44.9506,1.0297,1.324,64.963,48.1607,211
hourly,validation,lag_24h,21,44.7023,0.9212,1.1754,63.3429,47.6191,211
hourly,validation,lag_24h,22,56.0996,0.8462,1.0483,81.3562,58.515,211
hourly,validation,lag_24h,23,65.2345,0.5798,0.8392,79.7702,58.5358,211
hourly,test,lag_24h,0,57.6468,0.3801,0.6354,59.6888,44.3764,211
hourly,test,lag_24h,1,53.2932,0.3026,0.5131,53.2864,41.3129,211
hourly,test,lag_24h,2,58.9188,0.3112,0.4887,58.843,46.0793,211
hourly,test,lag_24h,3,50.4141,0.2354,0.4232,46.9679,36.4655,211
hourly,test,lag_24h,4,50.5237,0.2342,0.3894,50.0913,38.7732,211
hourly,test,lag_24h,5,46.2812,0.2077,0.3942,42.0626,34.3183,211
hourly,test,lag_24h,6,47.5159,0.3094,0.4335,51.704,43.7469,211
hourly,test,lag_24h,7,42.5679,0.5629,0.7915,69.1389,48.436,211
hourly,test,lag_24h,8,41.3451,0.52,0.7297,57.7216,43.2804,211
hourly,test,lag_24h,9,42.5986,0.5104,0.7093,58.3392,44.3847,211
hourly,test,lag_24h,10,46.9347,0.5338,0.7755,66.8597,47.5829,211
hourly,test,lag_24h,11,51.2914,0.5831,0.8667,73.1299,49.4234,211
hourly,test,lag_24h,12,57.2329,0.6323,0.8984,74.8847,55.112,211
hourly,test,lag_24h,13,57.2387,0.5961,0.8328,79.2225,55.2056,211
hourly,test,lag_24h,14,59.1814,0.5814,0.8257,77.8892,54.3858,211
hourly,test,lag_24h,15,66.195,0.6007,0.807,85.809,60.9069,212
hourly,test,lag_24h,16,69.077,0.567,0.7666,81.9517,61.0886,212
hourly,test,lag_24h,17,65.4507,0.5785,0.8195,77.7173,56.622,212
hourly,test,lag_24h,18,61.6876,0.6608,0.9894,74.8548,54.5885,212
hourly,test,lag_24h,19,56.0006,0.7251,0.9789,79.5865,55.5622,212
hourly,test,lag_24h,20,47.7692,0.7028,0.9619,71.9791,51.1669,212
hourly,test,lag_24h,21,49.8432,0.7559,0.9979,67.8852,51.2163,212
hourly,test,lag_24h,22,53.5903,0.6476,0.8377,67.7786,52.7603,212
hourly,test,lag_24h,23,64.9254,0.5513,0.8031,75.4286,55.834,212
