Report_Type,Dataset,Hour,Broj_redova,Better_Model_by_MAE,Baseline_MAE,Tree_Model_MAE,MAE_Improvement_percent,Baseline_RMSE,Tree_Model_RMSE,RMSE_Improvement_percent,Baseline_MAPE,Tree_Model_MAPE,MAPE_Improvement_percent,Baseline_sMAPE,Tree_Model_sMAPE,sMAPE_Improvement_percent,Baseline_WAPE,Tree_Model_WAPE,WAPE_Improvement_percent
summary,test,,5073,gradient_boosting_n200_lr0p05_depth5,0.5123,0.3269,36.1897,0.7611,0.4693,38.3392,66.8003,43.9538,34.2012,49.2873,35.2832,28.4132,53.4677,34.1121,36.2005
hourly,test,0,211,gradient_boosting_n200_lr0p05_depth5,0.3801,0.2345,38.3057,0.6354,0.3875,39.0148,59.6888,33.1812,44.4097,44.3764,31.6533,28.6709,57.6468,35.569,38.2984
hourly,test,1,211,gradient_boosting_n200_lr0p05_depth5,0.3026,0.1885,37.7065,0.5131,0.3113,39.3296,53.2864,29.5007,44.6375,41.3129,29.7068,28.0932,53.2932,33.2002,37.7027
hourly,test,2,211,gradient_boosting_n200_lr0p05_depth5,0.3112,0.1668,46.401,0.4887,0.2633,46.1224,58.843,28.262,51.9705,46.0793,28.4615,38.2337,58.9188,31.5798,46.4011
hourly,test,3,211,gradient_boosting_n200_lr0p05_depth5,0.2354,0.128,45.6245,0.4232,0.2207,47.8497,46.9679,24.767,47.2682,36.4655,24.0951,33.9236,50.4141,27.4179,45.6146
hourly,test,4,211,gradient_boosting_n200_lr0p05_depth5,0.2342,0.1522,35.0128,0.3894,0.2386,38.7262,50.0913,30.5152,39.0808,38.7732,29.3759,24.2366,50.5237,32.8356,35.0095
hourly,test,5,211,gradient_boosting_n200_lr0p05_depth5,0.2077,0.1519,26.8657,0.3942,0.249,36.8341,42.0626,31.5722,24.94,34.3183,29.2904,14.6508,46.2812,33.8611,26.8362
hourly,test,6,211,gradient_boosting_n200_lr0p05_depth5,0.3094,0.252,18.552,0.4335,0.3117,28.0969,51.704,52.7444,-2.0122,43.7469,38.7986,11.3112,47.5159,38.694,18.5662
hourly,test,7,211,gradient_boosting_n200_lr0p05_depth5,0.5629,0.43,23.6099,0.7915,0.5391,31.8888,69.1389,52.5852,23.9427,48.436,38.9821,19.5183,42.5679,32.522,23.5997
hourly,test,8,211,gradient_boosting_n200_lr0p05_depth5,0.52,0.3286,36.8077,0.7297,0.4256,41.6747,57.7216,41.1628,28.6874,43.2804,31.3581,27.5466,41.3451,26.1245,36.8136
hourly,test,9,211,gradient_boosting_n200_lr0p05_depth5,0.5104,0.3403,33.3268,0.7093,0.4598,35.1755,58.3392,41.7823,28.3804,44.3847,32.526,26.718,42.5986,28.4022,33.326
hourly,test,10,211,gradient_boosting_n200_lr0p05_depth5,0.5338,0.369,30.873,0.7755,0.507,34.6228,66.8597,46.6682,30.1998,47.5829,36.021,24.2984,46.9347,32.4412,30.8801
hourly,test,11,211,gradient_boosting_n200_lr0p05_depth5,0.5831,0.3692,36.6832,0.8667,0.5141,40.6831,73.1299,45.2684,38.0986,49.4234,35.1469,28.8861,51.2914,32.4768,36.6818
hourly,test,12,211,gradient_boosting_n200_lr0p05_depth5,0.6323,0.3866,38.8581,0.8984,0.5517,38.5908,74.8847,45.4952,39.2463,55.112,36.8104,33.208,57.2329,34.9885,38.8665
hourly,test,13,211,gradient_boosting_n200_lr0p05_depth5,0.5961,0.351,41.1173,0.8328,0.4653,44.1282,79.2225,44.7713,43.4866,55.2056,36.0127,34.7662,57.2387,33.6989,41.1257
hourly,test,14,211,gradient_boosting_n200_lr0p05_depth5,0.5814,0.3768,35.1909,0.8257,0.5104,38.1858,77.8892,54.8486,29.5813,54.3858,40.8331,24.9196,59.1814,38.3504,35.1986
hourly,test,15,212,gradient_boosting_n200_lr0p05_depth5,0.6007,0.3458,42.4338,0.807,0.4788,40.6691,85.809,47.3319,44.8404,60.9069,38.5015,36.7863,66.195,38.1025,42.439
hourly,test,16,212,gradient_boosting_n200_lr0p05_depth5,0.567,0.3158,44.3034,0.7666,0.4264,44.3778,81.9517,50.5453,38.3231,61.0886,38.7857,36.5091,69.077,38.4733,44.3037
hourly,test,17,212,gradient_boosting_n200_lr0p05_depth5,0.5785,0.35,39.4987,0.8195,0.4879,40.4637,77.7173,49.7076,36.0405,56.622,40.2642,28.8895,65.4507,39.602,39.4934
hourly,test,18,212,gradient_boosting_n200_lr0p05_depth5,0.6608,0.4465,32.4304,0.9894,0.6511,34.1924,74.8548,54.9339,26.6127,54.5885,42.0486,22.9717,61.6876,41.6791,32.4352
hourly,test,19,212,gradient_boosting_n200_lr0p05_depth5,0.7251,0.4344,40.091,0.9789,0.5853,40.2084,79.5865,56.9747,28.4116,55.5622,38.6183,30.4954,56.0006,33.546,40.0971
hourly,test,20,212,gradient_boosting_n200_lr0p05_depth5,0.7028,0.4609,34.4195,0.9619,0.5855,39.1309,71.9791,48.3858,32.778,51.1669,36.1623,29.3248,47.7692,31.3263,34.4216
hourly,test,21,212,gradient_boosting_n200_lr0p05_depth5,0.7559,0.4979,34.1315,0.9979,0.6429,35.5747,67.8852,49.5973,26.9395,51.2163,36.9001,27.9524,49.8432,32.8341,34.1252
hourly,test,22,212,gradient_boosting_n200_lr0p05_depth5,0.6476,0.4169,35.6238,0.8377,0.546,34.8215,67.7786,46.9076,30.7929,52.7603,35.7293,32.28,53.5903,34.4933,35.6352
hourly,test,23,212,gradient_boosting_n200_lr0p05_depth5,0.5513,0.3481,36.8583,0.8031,0.495,38.3638,75.4286,47.1171,37.5342,55.834,40.5729,27.333,64.9254,40.9924,36.8623
