Report_Type,Dataset,Hour,Broj_redova,Better_Model_by_MAE,Baseline_MAE,GRU_MAE,MAE_Improvement_percent,Baseline_RMSE,GRU_RMSE,RMSE_Improvement_percent,Baseline_MAPE,GRU_MAPE,MAPE_Improvement_percent,Baseline_sMAPE,GRU_sMAPE,sMAPE_Improvement_percent,Baseline_WAPE,GRU_WAPE,WAPE_Improvement_percent
summary,test,,5025,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5123,0.3291,35.7603,0.7611,0.4791,37.0516,66.8003,41.8855,37.2974,49.2873,35.1092,28.7662,53.4677,34.3047,35.8403
hourly,test,0,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.3801,0.247,35.0171,0.6354,0.4099,35.4895,59.6888,35.5431,40.4526,44.3764,34.8835,21.3918,57.6468,37.4407,35.0516
hourly,test,1,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.3026,0.1966,35.0297,0.5131,0.3152,38.5695,53.2864,30.3397,43.063,41.3129,32.0962,22.3095,53.2932,34.6075,35.0621
hourly,test,2,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.3112,0.1704,45.2442,0.4887,0.2758,43.5646,58.843,28.666,51.2839,46.0793,29.4868,36.0086,58.9188,32.3155,45.1525
hourly,test,3,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.2354,0.1385,41.164,0.4232,0.2412,43.0057,46.9679,26.6199,43.3232,36.4655,25.7325,29.4333,50.4141,29.7678,40.9534
hourly,test,4,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.2342,0.1548,33.9026,0.3894,0.2576,33.8469,50.0913,29.3534,41.4002,38.7732,29.391,24.1976,50.5237,33.4428,33.8077
hourly,test,5,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.2077,0.1511,27.2508,0.3942,0.258,34.551,42.0626,31.474,25.1734,34.3183,28.5698,16.7505,46.2812,33.5928,27.4159
hourly,test,6,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.3094,0.2352,23.9819,0.4335,0.3028,30.1499,51.704,42.4335,17.9299,43.7469,34.6408,20.8154,47.5159,36.0765,24.0749
hourly,test,7,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5629,0.4444,21.0517,0.7915,0.5528,30.1579,69.1389,54.386,21.3381,48.436,39.5785,18.287,42.5679,33.7473,20.7212
hourly,test,8,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.52,0.314,39.6154,0.7297,0.4186,42.634,57.7216,35.7548,38.0565,43.2804,28.5537,34.0263,41.3451,25.0204,39.484
hourly,test,9,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5104,0.3572,30.0157,0.7093,0.486,31.4817,58.3392,39.7766,31.8184,44.3847,32.9208,25.8285,42.5986,29.7924,30.0625
hourly,test,10,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5338,0.3852,27.8381,0.7755,0.5296,31.7086,66.8597,46.3199,30.7207,47.5829,37.1458,21.9346,46.9347,33.8015,27.9819
hourly,test,11,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5831,0.3796,34.8997,0.8667,0.5343,38.3524,73.1299,43.4536,40.5803,49.4234,36.1028,26.952,51.2914,33.3224,35.0332
hourly,test,12,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.6323,0.4095,35.2364,0.8984,0.5789,35.5632,74.8847,44.7731,40.2106,55.112,38.3495,30.4153,57.2329,36.9294,35.4752
hourly,test,13,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5961,0.3502,41.2515,0.8328,0.4674,43.8761,79.2225,40.5347,48.8344,55.2056,36.1623,34.4952,57.2387,33.417,41.6182
hourly,test,14,209,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5814,0.3715,36.1025,0.8257,0.5126,37.9193,77.8892,48.1887,38.1317,54.3858,39.5765,27.2301,59.1814,37.7223,36.2599
hourly,test,15,210,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.6007,0.3335,44.4814,0.807,0.4823,40.2354,85.809,42.9508,49.946,60.9069,36.4622,40.1345,66.195,36.7771,44.4413
hourly,test,16,210,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.567,0.311,45.1499,0.7666,0.424,44.6908,81.9517,48.3798,40.9655,61.0886,37.9854,37.8192,69.077,37.9115,45.117
hourly,test,17,210,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.5785,0.3486,39.7407,0.8195,0.4971,39.3411,77.7173,48.1005,38.1084,56.622,39.4096,30.3988,65.4507,39.4473,39.7298
hourly,test,18,210,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.6608,0.4336,34.3826,0.9894,0.6457,34.7382,74.8548,50.8882,32.0175,54.5885,40.6413,25.5497,61.6876,40.4893,34.364
hourly,test,19,210,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.7251,0.4565,37.0432,0.9789,0.6067,38.0223,79.5865,54.3807,31.6709,55.5622,39.1375,29.5609,56.0006,35.0974,37.3267
hourly,test,20,210,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.7028,0.4585,34.761,0.9619,0.5946,38.1848,71.9791,50.4895,29.8553,51.1669,35.2798,31.0496,47.7692,31.1047,34.8854
hourly,test,21,210,gru_seq24_h64_l1_d0p0_lr0p0005_bs64,0.7559,0.4949,34.5284,0.9979,0.6443,35.4344,67.8852,48.4731,28.5955,51.2163,36.8059,28.1364,49.8432,32.5461,34.703
