Report_Type,Dataset,Hour,Broj_redova,Better_Model_by_MAE,Baseline_MAE,LSTM_MAE,MAE_Improvement_percent,Baseline_RMSE,LSTM_RMSE,RMSE_Improvement_percent,Baseline_MAPE,LSTM_MAPE,MAPE_Improvement_percent,Baseline_sMAPE,LSTM_sMAPE,sMAPE_Improvement_percent,Baseline_WAPE,LSTM_WAPE,WAPE_Improvement_percent
summary,test,,4977,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.5123,0.3267,36.2288,0.7611,0.4826,36.5918,66.8003,39.308,41.156,49.2873,34.5356,29.93,53.4677,33.9633,36.4788
hourly,test,0,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.3801,0.2461,35.2539,0.6354,0.4167,34.4193,59.6888,33.2859,44.2343,44.3764,33.9342,23.531,57.6468,37.1824,35.4996
hourly,test,1,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.3026,0.1933,36.1203,0.5131,0.3254,36.5816,53.2864,26.869,49.5763,41.3129,30.3248,26.5973,53.2932,33.9725,36.2536
hourly,test,2,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.3112,0.1656,46.7866,0.4887,0.2799,42.7256,58.843,25.1679,57.2287,46.0793,27.8192,39.6276,58.9188,31.3835,46.7343
hourly,test,3,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.2354,0.128,45.6245,0.4232,0.2351,44.4471,46.9679,22.556,51.9757,36.4655,23.2881,36.1366,50.4141,27.4836,45.4843
hourly,test,4,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.2342,0.1503,35.8241,0.3894,0.249,36.0555,50.0913,28.1848,43.7331,38.7732,28.4012,26.7504,50.5237,32.4553,35.7622
hourly,test,5,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.2077,0.1678,19.2104,0.3942,0.2652,32.7245,42.0626,37.1145,11.7637,34.3183,32.0097,6.727,46.2812,37.4189,19.1488
hourly,test,6,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.3094,0.226,26.9554,0.4335,0.3011,30.5421,51.704,39.0844,24.4074,43.7469,33.4114,23.6257,47.5159,34.762,26.8413
hourly,test,7,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.5629,0.4351,22.7039,0.7915,0.5679,28.2502,69.1389,46.9873,32.0393,48.436,37.289,23.0139,42.5679,33.1631,22.0936
hourly,test,8,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.52,0.3051,41.3269,0.7297,0.411,43.6755,57.7216,33.9689,41.1505,43.2804,27.1131,37.3548,41.3451,24.3579,41.0864
hourly,test,9,207,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0.5104,0.3377,33.8362,0.7093,0.4714,33.5401,58.3392,39.4578,32.3649,44.3847,32.2144,27.42,42.5986,28.1351,33.953
