Report_Type,Dataset,Hour,Broj_redova,Better_Model_by_MAE,Baseline_MAE,Tree_Model_MAE,MAE_Improvement_percent,Baseline_RMSE,Tree_Model_RMSE,RMSE_Improvement_percent,Baseline_MAPE,Tree_Model_MAPE,MAPE_Improvement_percent,Baseline_sMAPE,Tree_Model_sMAPE,sMAPE_Improvement_percent,Baseline_WAPE,Tree_Model_WAPE,WAPE_Improvement_percent
summary,test,,5073,random_forest_n100_depth10_leaf1,0.5123,0.3299,35.6041,0.7611,0.4744,37.6692,66.8003,44.8005,32.9337,49.2873,35.3065,28.3659,53.4677,34.4243,35.6166
hourly,test,0,211,random_forest_n100_depth10_leaf1,0.3801,0.2349,38.2005,0.6354,0.3864,39.1879,59.6888,34.6025,42.0285,44.3764,31.2915,29.4862,57.6468,35.6301,38.1924
hourly,test,1,211,random_forest_n100_depth10_leaf1,0.3026,0.1877,37.9709,0.5131,0.3051,40.5379,53.2864,30.8643,42.0785,41.3129,29.3636,28.9239,53.2932,33.0574,37.9707
hourly,test,2,211,random_forest_n100_depth10_leaf1,0.3112,0.1716,44.8586,0.4887,0.2681,45.1402,58.843,30.3028,48.5023,46.0793,29.2921,36.4311,58.9188,32.4883,44.8592
hourly,test,3,211,random_forest_n100_depth10_leaf1,0.2354,0.1286,45.3696,0.4232,0.2143,49.362,46.9679,25.813,45.0412,36.4655,24.5988,32.5423,50.4141,27.5554,45.3419
hourly,test,4,211,random_forest_n100_depth10_leaf1,0.2342,0.1531,34.6285,0.3894,0.2375,39.0087,50.0913,31.4448,37.225,38.7732,29.4735,23.9849,50.5237,33.0319,34.621
hourly,test,5,211,random_forest_n100_depth10_leaf1,0.2077,0.1515,27.0583,0.3942,0.2491,36.8087,42.0626,32.5434,22.631,34.3183,29.1784,14.9771,46.2812,33.7644,27.0451
hourly,test,6,211,random_forest_n100_depth10_leaf1,0.3094,0.259,16.2896,0.4335,0.325,25.0288,51.704,52.9953,-2.4975,43.7469,38.6879,11.5642,47.5159,39.7747,16.2918
hourly,test,7,211,random_forest_n100_depth10_leaf1,0.5629,0.4267,24.1961,0.7915,0.5441,31.2571,69.1389,50.4086,27.0908,48.436,38.1118,21.3151,42.5679,32.271,24.1894
hourly,test,8,211,random_forest_n100_depth10_leaf1,0.52,0.3264,37.2308,0.7297,0.4303,41.0306,57.7216,39.8102,31.0307,43.2804,30.2777,30.0429,41.3451,25.9508,37.2337
hourly,test,9,211,random_forest_n100_depth10_leaf1,0.5104,0.3307,35.2077,0.7093,0.456,35.7113,58.3392,40.2174,31.0628,44.3847,31.4234,29.2022,42.5986,27.6067,35.1934
hourly,test,10,211,random_forest_n100_depth10_leaf1,0.5338,0.3712,30.4608,0.7755,0.5095,34.3005,66.8597,48.4751,27.4973,47.5829,36.4706,23.3536,46.9347,32.6377,30.4615
hourly,test,11,211,random_forest_n100_depth10_leaf1,0.5831,0.3735,35.9458,0.8667,0.5276,39.1254,73.1299,46.8847,35.8885,49.4234,35.8299,27.5042,51.2914,32.8524,35.9495
hourly,test,12,211,random_forest_n100_depth10_leaf1,0.6323,0.3837,39.3168,0.8984,0.551,38.6687,74.8847,45.8627,38.7556,55.112,35.825,34.996,57.2329,34.729,39.3199
hourly,test,13,211,random_forest_n100_depth10_leaf1,0.5961,0.3545,40.5301,0.8328,0.4694,43.6359,79.2225,47.0492,40.6113,55.2056,36.6062,33.6911,57.2387,34.0411,40.5278
hourly,test,14,211,random_forest_n100_depth10_leaf1,0.5814,0.38,34.6405,0.8257,0.5165,37.447,77.8892,56.6699,27.2429,54.3858,41.2428,24.1662,59.1814,38.6765,34.6475
hourly,test,15,212,random_forest_n100_depth10_leaf1,0.6007,0.3562,40.7025,0.807,0.4833,40.1115,85.809,51.5553,39.9185,60.9069,39.7578,34.7237,66.195,39.25,40.7055
hourly,test,16,212,random_forest_n100_depth10_leaf1,0.567,0.3276,42.2222,0.7666,0.4341,43.3733,81.9517,54.9319,32.9704,61.0886,40.2417,34.1257,69.077,39.9042,42.2323
hourly,test,17,212,random_forest_n100_depth10_leaf1,0.5785,0.3521,39.1357,0.8195,0.4961,39.4631,77.7173,52.1603,32.8846,56.622,40.4389,28.5809,65.4507,39.8353,39.1369
hourly,test,18,212,random_forest_n100_depth10_leaf1,0.6608,0.4605,30.3117,0.9894,0.6648,32.8078,74.8548,56.8582,24.042,54.5885,42.6931,21.791,61.6876,42.9828,30.3218
hourly,test,19,212,random_forest_n100_depth10_leaf1,0.7251,0.4325,40.3531,0.9789,0.5918,39.5444,79.5865,52.4715,34.0698,55.5622,37.8763,31.8308,56.0006,33.4022,40.3539
hourly,test,20,212,random_forest_n100_depth10_leaf1,0.7028,0.4743,32.5128,0.9619,0.6105,36.5319,71.9791,47.1632,34.4765,51.1669,35.7383,30.1535,47.7692,32.2406,32.5076
hourly,test,21,212,random_forest_n100_depth10_leaf1,0.7559,0.4978,34.1447,0.9979,0.6432,35.5446,67.8852,48.3693,28.7484,51.2163,36.3074,29.1097,49.8432,32.8276,34.1383
hourly,test,22,212,random_forest_n100_depth10_leaf1,0.6476,0.4321,33.2767,0.8377,0.5568,33.5323,67.7786,49.0005,27.7051,52.7603,35.855,32.0417,53.5903,35.7571,33.2769
hourly,test,23,212,random_forest_n100_depth10_leaf1,0.5513,0.3468,37.0941,0.8031,0.4899,38.9989,75.4286,48.4848,35.7209,55.834,40.6247,27.2402,64.9254,40.8458,37.0881
