Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gradient_boosting_n100_lr0p05_depth2,,0.4007,0.5762,43.8683,34.6522,32.0853,5072
hourly,validation,gradient_boosting_n100_lr0p05_depth2,0,0.2508,0.3409,52.2114,37.3997,39.7754,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,1,0.1775,0.2751,37.7888,29.8168,33.5336,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,2,0.1595,0.2533,32.892,28.0055,33.188,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,3,0.1337,0.2203,30.7761,25.431,30.9657,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,4,0.1304,0.2048,31.1753,26.9385,31.7133,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,5,0.1506,0.2266,33.0074,30.0097,34.3807,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,6,0.3411,0.4293,46.0754,43.3032,41.1968,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,7,0.7812,0.9269,52.5663,53.1768,44.095,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,8,0.3946,0.5062,31.6158,27.2466,23.9205,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,9,0.3258,0.4402,29.4023,23.5838,20.982,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,10,0.3389,0.4784,28.2499,24.0952,22.4256,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,11,0.4144,0.6362,41.9329,30.3396,27.4599,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,12,0.4478,0.6442,47.3186,34.6228,30.7036,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,13,0.437,0.5703,55.5747,38.3317,32.1981,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,14,0.4758,0.6495,62.703,42.4985,37.9507,212
hourly,validation,gradient_boosting_n100_lr0p05_depth2,15,0.4723,0.6579,61.695,43.5709,39.7373,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,16,0.4302,0.5707,55.264,41.0997,36.7642,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,17,0.4988,0.7303,47.8418,39.1507,37.5548,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,18,0.531,0.7352,43.1044,35.6151,32.5135,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,19,0.6591,0.8297,36.5459,35.6683,31.6857,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,20,0.6523,0.8371,37.9783,32.5221,28.4751,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,21,0.5145,0.6496,37.6552,28.3446,24.969,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,22,0.4771,0.5872,48.3297,35.0878,31.6274,211
hourly,validation,gradient_boosting_n100_lr0p05_depth2,23,0.4202,0.5402,71.143,45.8109,47.2757,211
summary,test,gradient_boosting_n100_lr0p05_depth2,,0.3492,0.4895,48.807,37.8882,36.4474,5073
hourly,test,gradient_boosting_n100_lr0p05_depth2,0,0.2667,0.3851,46.4585,36.4886,40.4471,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,1,0.1952,0.3085,35.3104,30.3578,34.3733,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,2,0.1882,0.2694,36.5194,32.5644,35.635,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,3,0.1498,0.2371,32.2081,27.7888,32.0795,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,4,0.1619,0.2498,35.4323,30.7641,34.931,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,5,0.1559,0.2646,33.4896,28.972,34.7443,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,6,0.2541,0.3244,47.8057,39.5967,39.0146,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,7,0.6017,0.7386,53.3802,51.0825,45.5028,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,8,0.3441,0.4437,40.3791,32.289,27.3583,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,9,0.3316,0.4606,42.1074,31.7626,27.676,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,10,0.3815,0.5181,52.5223,37.9519,33.5451,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,11,0.3827,0.5294,51.6508,37.7965,33.6683,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,12,0.4057,0.5624,51.9462,38.7353,36.7157,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,13,0.3669,0.4702,51.5908,38.4107,35.2257,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,14,0.3948,0.521,62.962,43.733,40.1852,211
hourly,test,gradient_boosting_n100_lr0p05_depth2,15,0.3802,0.4888,58.5586,43.4313,41.8887,212
hourly,test,gradient_boosting_n100_lr0p05_depth2,16,0.3465,0.4458,61.4055,43.4578,42.2109,212
hourly,test,gradient_boosting_n100_lr0p05_depth2,17,0.3664,0.4991,55.106,42.4656,41.45,212
hourly,test,gradient_boosting_n100_lr0p05_depth2,18,0.4684,0.6584,61.1371,45.7723,43.7264,212
hourly,test,gradient_boosting_n100_lr0p05_depth2,19,0.4565,0.5971,56.1479,41.3563,35.2514,212
hourly,test,gradient_boosting_n100_lr0p05_depth2,20,0.4843,0.6044,51.3172,38.7817,32.9206,212
hourly,test,gradient_boosting_n100_lr0p05_depth2,21,0.5063,0.6486,52.5573,38.7825,33.3838,212
hourly,test,gradient_boosting_n100_lr0p05_depth2,22,0.4174,0.5499,45.6869,35.1547,34.5417,212
