Model,validation_MAE,validation_RMSE,validation_MAPE,validation_sMAPE,validation_WAPE,test_MAE,test_RMSE,test_MAPE,test_sMAPE,test_WAPE,n_estimators,learning_rate,max_depth
gradient_boosting_n100_lr0p05_depth2,0.4007,0.5762,43.8683,34.6522,32.0853,0.3492,0.4895,48.807,37.8882,36.4474,100,0.05,2
gradient_boosting_n100_lr0p05_depth3,0.3886,0.5581,42.4119,33.625,31.1179,0.3374,0.4777,46.2847,36.4729,35.2113,100,0.05,3
gradient_boosting_n100_lr0p05_depth5,0.3736,0.5417,40.3558,32.2171,29.9169,0.3291,0.4707,44.77,35.6159,34.3505,100,0.05,5
gradient_boosting_n100_lr0p1_depth2,0.3918,0.5599,42.9398,33.8816,31.3695,0.3411,0.4826,46.6436,36.9283,35.5939,100,0.1,2
gradient_boosting_n100_lr0p1_depth3,0.3826,0.5494,41.6145,33.0265,30.6351,0.3319,0.4742,44.7994,35.801,34.6409,100,0.1,3
gradient_boosting_n100_lr0p1_depth5,0.3721,0.5392,40.1646,32.0406,29.7954,0.3278,0.47,44.2396,35.4488,34.214,100,0.1,5
gradient_boosting_n200_lr0p05_depth2,0.3917,0.5607,42.8542,33.7995,31.3619,0.3414,0.4825,46.7696,37.0003,35.6275,200,0.05,2
gradient_boosting_n200_lr0p05_depth3,0.3836,0.5497,41.8899,33.1426,30.7164,0.3326,0.4742,45.0096,35.8684,34.7079,200,0.05,3
gradient_boosting_n200_lr0p05_depth5,0.3715,0.5375,40.1634,32.0323,29.747,0.3269,0.4693,43.9538,35.2832,34.1121,200,0.05,5
gradient_boosting_n200_lr0p1_depth2,0.3859,0.5516,42.2175,33.4049,30.9013,0.3375,0.479,45.9012,36.7242,35.2219,200,0.1,2
gradient_boosting_n200_lr0p1_depth3,0.3788,0.5443,41.1306,32.7106,30.3358,0.33,0.4724,44.2474,35.6675,34.4391,200,0.1,3
gradient_boosting_n200_lr0p1_depth5,0.3738,0.5417,40.4427,32.1541,29.9337,0.3279,0.4708,44.0669,35.3736,34.225,200,0.1,5
