Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gradient_boosting_n100_lr0p1_depth2,,0.3918,0.5599,42.9398,33.8816,31.3695,5072
hourly,validation,gradient_boosting_n100_lr0p1_depth2,0,0.229,0.3184,44.9674,34.4516,36.3135,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,1,0.1718,0.2693,33.8587,28.6623,32.4513,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,2,0.1573,0.2476,31.7982,28.0767,32.7367,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,3,0.1306,0.2106,29.5194,25.4257,30.2397,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,4,0.1323,0.2002,31.7207,27.772,32.1702,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,5,0.1543,0.2218,34.515,31.2928,35.2352,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,6,0.3442,0.4133,53.8635,43.2076,41.569,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,7,0.6906,0.8051,56.7251,48.0611,38.9776,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,8,0.3965,0.5095,31.8947,27.3064,24.0362,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,9,0.3279,0.4431,29.1226,23.7156,21.1176,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,10,0.3403,0.4774,28.0801,24.2298,22.5223,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,11,0.418,0.6351,41.627,30.6453,27.6954,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,12,0.4451,0.6421,45.4571,34.056,30.5224,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,13,0.4292,0.5666,52.864,37.5458,31.6237,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,14,0.4616,0.6399,58.0559,40.6017,36.8169,212
hourly,validation,gradient_boosting_n100_lr0p1_depth2,15,0.4568,0.6522,56.5395,41.1951,38.4277,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,16,0.4177,0.5668,50.4862,39.2149,35.6926,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,17,0.4898,0.7123,47.3683,38.2682,36.8779,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,18,0.5247,0.7098,45.3636,35.4775,32.1294,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,19,0.6494,0.8019,38.521,34.9775,31.2222,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,20,0.6484,0.8219,40.1454,32.2078,28.307,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,21,0.5196,0.6542,39.1511,28.6325,25.2154,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,22,0.4719,0.5822,46.2822,34.5997,31.2824,211
hourly,validation,gradient_boosting_n100_lr0p1_depth2,23,0.3933,0.5099,62.626,43.5565,44.2421,211
summary,test,gradient_boosting_n100_lr0p1_depth2,,0.3411,0.4826,46.6436,36.9283,35.5939,5073
hourly,test,gradient_boosting_n100_lr0p1_depth2,0,0.2476,0.3787,39.5839,34.4886,37.5596,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,1,0.1872,0.3092,30.5158,29.3349,32.9758,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,2,0.1828,0.27,33.126,32.1307,34.6202,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,3,0.1392,0.2298,28.205,26.2719,29.8071,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,4,0.1572,0.2456,32.6137,30.0102,33.9118,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,5,0.1526,0.2617,31.6238,28.5312,33.9965,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,6,0.2783,0.34,59.1328,42.5528,42.7401,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,7,0.556,0.6593,61.697,48.9251,42.0501,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,8,0.3426,0.4472,38.5528,31.4236,27.2427,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,9,0.3276,0.4611,38.862,30.8898,27.3408,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,10,0.3691,0.5123,47.1598,35.8264,32.4517,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,11,0.3755,0.5273,47.0133,36.2137,33.0292,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,12,0.3956,0.5624,46.589,36.7963,35.8014,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,13,0.3553,0.4622,47.1324,37.2969,34.1192,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,14,0.3753,0.5114,55.4296,40.6064,38.2012,211
hourly,test,gradient_boosting_n100_lr0p1_depth2,15,0.3597,0.4818,50.8916,40.1747,39.6388,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,16,0.3258,0.4342,53.2869,39.9982,39.6877,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,17,0.356,0.4952,52.2372,40.6051,40.2771,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,18,0.4741,0.6599,64.3012,46.1923,44.2517,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,19,0.4555,0.5952,60.5813,41.3794,35.1773,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,20,0.4882,0.6036,54.2072,39.0022,33.1848,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,21,0.5076,0.6493,52.6688,38.3991,33.469,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,22,0.4118,0.549,43.3731,35.3308,34.0766,212
hourly,test,gradient_boosting_n100_lr0p1_depth2,23,0.3618,0.5051,50.3677,43.7456,42.6018,212
