Model,sequence_length,batch_size,hidden_size,num_layers,dropout,learning_rate,max_epochs,patience,validation_MAE,validation_RMSE,validation_MAPE,validation_sMAPE,validation_WAPE,test_MAE,test_RMSE,test_MAPE,test_sMAPE,test_WAPE
gru_seq12_h32_l1_d0p0_lr0p001_bs64,12,64,32,1,0.0,0.001,80,10,0.3766,0.5393,40.0634,32.2618,30.1213,0.3332,0.4833,42.3175,35.8719,34.7502
gru_seq12_h32_l1_d0p0_lr0p0005_bs64,12,64,32,1,0.0,0.0005,80,10,0.376,0.5398,39.1321,32.3352,30.0795,0.3342,0.4839,42.9691,35.8968,34.8621
gru_seq12_h32_l2_d0p0_lr0p001_bs64,12,64,32,2,0.0,0.001,80,10,0.3806,0.5441,40.5174,32.7633,30.4425,0.3373,0.4872,43.6051,35.956,35.1855
gru_seq12_h32_l2_d0p0_lr0p0005_bs64,12,64,32,2,0.0,0.0005,80,10,0.3803,0.5442,40.1015,32.8517,30.4239,0.3411,0.4858,46.0223,36.8796,35.5775
gru_seq12_h32_l2_d0p2_lr0p001_bs64,12,64,32,2,0.2,0.001,80,10,0.3804,0.544,39.6882,32.8351,30.4316,0.334,0.4832,42.859,35.6721,34.8397
gru_seq12_h32_l2_d0p2_lr0p0005_bs64,12,64,32,2,0.2,0.0005,80,10,0.3774,0.5428,39.0831,32.2751,30.1856,0.3374,0.4817,45.2431,36.2968,35.1891
gru_seq12_h32_l2_d0p3_lr0p001_bs64,12,64,32,2,0.3,0.001,80,10,0.376,0.5424,38.6825,32.2176,30.0727,0.3326,0.4841,42.0378,35.4098,34.6905
gru_seq12_h32_l2_d0p3_lr0p0005_bs64,12,64,32,2,0.3,0.0005,80,10,0.3752,0.5412,38.8879,32.0156,30.0162,0.3372,0.4819,45.2182,36.3089,35.1681
gru_seq12_h64_l1_d0p0_lr0p001_bs64,12,64,64,1,0.0,0.001,80,10,0.3729,0.5405,38.2907,31.8821,29.8322,0.3303,0.4808,41.9157,35.672,34.4552
gru_seq12_h64_l1_d0p0_lr0p0005_bs64,12,64,64,1,0.0,0.0005,80,10,0.3717,0.5379,38.973,31.7031,29.7341,0.3318,0.4786,43.576,35.5153,34.6108
gru_seq12_h64_l2_d0p0_lr0p001_bs64,12,64,64,2,0.0,0.001,80,10,0.3739,0.5422,38.0603,31.769,29.9068,0.3315,0.4818,42.631,35.1886,34.5739
gru_seq12_h64_l2_d0p0_lr0p0005_bs64,12,64,64,2,0.0,0.0005,80,10,0.3718,0.5407,37.7116,31.7273,29.7435,0.3289,0.4796,41.867,35.0022,34.3085
