epoch,train_loss,validation_loss
1,0.477379,0.412367
2,0.409807,0.388083
3,0.390166,0.374351
4,0.374755,0.362548
5,0.367115,0.350386
6,0.362258,0.349836
7,0.358349,0.342462
8,0.355478,0.34853
9,0.35242,0.348735
10,0.349755,0.341585
11,0.348196,0.341739
12,0.346121,0.344373
13,0.344109,0.347023
14,0.34248,0.344621
15,0.340594,0.34048
16,0.339245,0.345259
17,0.33698,0.352909
18,0.335064,0.34525
19,0.333276,0.341576
20,0.331281,0.346334
21,0.329974,0.345363
22,0.328908,0.344639
23,0.327324,0.348307
24,0.325483,0.346394
25,0.323688,0.351372
