Report_Type,Dataset,Model,Hour,WAPE,MAE,RMSE,MAPE,sMAPE,Broj_redova
summary,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,,30.3268,0.3785,0.5417,40.4736,32.7553,5024
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,0,36.2653,0.2293,0.3315,39.1915,36.2177,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,1,33.1353,0.1761,0.2937,31.2876,28.751,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,2,30.7355,0.1473,0.2507,27.4962,25.9038,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,3,32.1941,0.1394,0.2282,29.4643,27.5675,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,4,32.2513,0.1329,0.219,27.6928,29.3451,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,5,39.1727,0.172,0.2376,39.965,34.6916,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,6,41.1469,0.3395,0.4389,53.7806,38.6672,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,7,30.861,0.5464,0.6453,55.6024,39.1251,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,8,23.8949,0.394,0.5046,35.3656,27.1501,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,9,21.9656,0.3407,0.4508,31.7839,24.5694,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,10,23.0541,0.3485,0.4758,30.2753,24.8098,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,11,27.9691,0.4223,0.6246,40.6839,30.6423,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,12,29.6662,0.4321,0.6172,43.9307,32.8387,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,13,30.9311,0.4192,0.5656,46.9564,35.9305,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,14,35.5165,0.4444,0.6243,51.6266,38.4959,210
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,15,37.0261,0.4408,0.6397,49.6295,38.4933,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,16,33.5475,0.392,0.5556,43.0337,35.7723,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,17,35.1106,0.4671,0.6838,43.3484,36.4012,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,18,32.312,0.5291,0.7087,43.7304,35.6265,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,19,29.5698,0.6151,0.7706,36.6587,32.3283,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,20,27.3454,0.6226,0.7672,39.877,30.8307,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,21,24.6973,0.5062,0.646,34.9818,27.6133,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,22,30.3132,0.4583,0.5757,41.099,33.4394,209
hourly,validation,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,23,41.1978,0.3672,0.4833,53.8459,40.956,209
summary,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,,34.9605,0.3354,0.4819,43.6614,36.1798,5025
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,0,37.2524,0.2457,0.4074,35.0869,35.0127,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,1,34.8509,0.198,0.3204,30.3722,32.5246,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,2,33.8187,0.1783,0.2856,29.5868,32.145,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,3,31.1946,0.1451,0.251,27.0654,28.1931,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,4,37.1106,0.1718,0.2746,31.7933,34.9999,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,5,37.4266,0.1683,0.271,36.0013,32.1164,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,6,41.7469,0.2722,0.3393,51.0942,38.3783,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,7,36.1452,0.4759,0.5746,63.0258,42.9936,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,8,27.1803,0.3412,0.438,43.1552,31.9826,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,9,29.1942,0.3501,0.4678,43.3931,33.2186,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,10,34.1911,0.3896,0.5251,51.691,38.1878,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,11,33.6617,0.3835,0.5277,47.2277,37.3378,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,12,37.0931,0.4113,0.578,46.233,38.3601,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,13,33.6929,0.3531,0.4663,42.5818,36.4785,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,14,37.4176,0.3685,0.5108,48.4689,39.1224,209
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,15,36.5266,0.3312,0.4794,42.7753,36.275,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,16,38.79,0.3182,0.4291,48.9949,38.8438,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,17,39.4518,0.3487,0.5034,46.5704,39.2308,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,18,39.9977,0.4284,0.6404,49.4913,40.0,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,19,35.2315,0.4582,0.6106,54.2532,38.7947,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,20,31.6059,0.4659,0.604,49.3783,35.1999,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,21,32.0271,0.487,0.6353,44.8791,35.3812,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,22,33.6129,0.4071,0.556,40.3362,33.8056,210
hourly,test,gru_seq24_h128_l2_d0.3_lr0.0005_bs64,23,40.976,0.3485,0.5087,44.2849,39.6782,210
