Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,,0.3775,0.5395,39.9694,32.37,30.2421,5024
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,0.0,0.2246,0.331,35.662,33.4827,35.5184,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,1.0,0.1744,0.3002,28.2719,27.2522,32.8034,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,2.0,0.1453,0.2373,28.0614,25.5805,30.3121,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,3.0,0.1414,0.2124,32.2438,27.5452,32.653,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,4.0,0.1344,0.2103,30.8065,27.7431,32.6322,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,5.0,0.1732,0.227,40.8877,35.4071,39.4614,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,6.0,0.3161,0.3994,47.2395,38.4955,38.3013,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,7.0,0.5179,0.6293,50.22,36.874,29.2518,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,8.0,0.4078,0.5091,35.9728,27.5437,24.7339,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,9.0,0.3513,0.4686,33.4337,24.8108,22.6504,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,10.0,0.3492,0.4761,31.2934,24.4012,23.0965,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,11.0,0.417,0.6251,41.7312,29.9737,27.6171,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,12.0,0.4322,0.6157,45.0347,32.6844,29.6721,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,13.0,0.4224,0.5691,46.462,35.9373,31.1667,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,14.0,0.4419,0.6192,48.8399,37.9736,35.3191,210
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,15.0,0.4476,0.6515,46.8592,38.3776,37.5945,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,16.0,0.3942,0.5612,41.302,35.4868,33.7329,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,17.0,0.4639,0.6721,44.227,36.425,34.8673,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,18.0,0.5329,0.6961,46.6849,36.3448,32.5396,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,19.0,0.629,0.7756,39.3671,32.9991,30.2391,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,20.0,0.6311,0.7777,41.6155,31.1615,27.7154,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,21.0,0.4971,0.6379,34.4451,27.4855,24.251,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,22.0,0.4538,0.5701,39.8995,33.6796,30.0159,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,23.0,0.3588,0.486,48.6423,39.2578,40.2533,209
summary,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,,0.3411,0.4856,46.3892,36.6904,35.5585,5025
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,0.0,0.2455,0.4079,34.8848,33.446,37.2175,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,1.0,0.1934,0.3263,27.4554,30.143,34.0346,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,2.0,0.1672,0.2722,27.4795,28.2807,31.7012,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,3.0,0.1516,0.2431,31.1676,28.6814,32.5865,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,4.0,0.172,0.2584,35.7735,32.8781,37.1511,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,5.0,0.1749,0.2584,40.5095,34.0689,38.9001,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,6.0,0.2444,0.3043,48.5436,37.6215,37.4775,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,7.0,0.4602,0.5581,59.9494,41.9933,34.9514,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,8.0,0.3592,0.4501,45.5235,33.1132,28.6141,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,9.0,0.3605,0.4819,47.7059,34.5811,30.0646,209
