Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,,0.3791,0.5424,40.1232,32.6235,30.4029,4976
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,0,0.2263,0.3228,38.3752,34.0682,35.6376,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,1,0.1741,0.2884,30.1206,28.9842,32.8369,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,2,0.1507,0.2482,28.1258,27.0471,31.3511,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,3,0.1273,0.2106,27.4164,24.3825,29.3495,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,4,0.129,0.209,29.6013,26.3668,31.2462,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,5,0.1784,0.2306,43.9147,36.4555,40.7542,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,6,0.3493,0.4415,54.8163,40.4475,42.1882,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,7,0.5025,0.6233,53.8123,36.0755,28.4016,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,8,0.4157,0.5208,38.2606,28.0494,25.2822,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,9,0.342,0.4582,32.2285,24.3125,22.0972,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,10,0.3573,0.4864,31.2143,25.1133,23.68,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,11,0.4358,0.6339,41.2756,31.6112,29.0185,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,12,0.4314,0.6204,42.2776,32.5053,29.8316,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,13,0.4268,0.5744,44.8127,36.4239,31.6413,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,14,0.434,0.6145,47.543,37.5963,34.7898,208
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,15,0.4362,0.6383,46.5268,38.2231,36.8867,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,16,0.3795,0.5454,40.1222,35.0477,32.3978,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,17,0.4669,0.6786,42.5219,36.7668,34.9009,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,18,0.5317,0.6943,44.8566,36.6626,32.3284,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,19,0.6217,0.7688,37.988,32.3941,29.866,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,20,0.619,0.7695,39.5837,30.5881,27.2153,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,21,0.5133,0.6572,34.5031,28.1648,25.0949,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,22,0.4782,0.6108,41.7538,35.1504,31.6309,207
hourly,validation,gru_seq48_h128_l1_d0p0_lr0p001_bs64,23,0.3694,0.4881,51.2552,40.5711,41.3798,207
summary,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,,0.3437,0.4875,46.3892,36.9234,35.7293,4977
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,0,0.2483,0.3983,37.2041,34.4406,37.5173,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,1,0.2025,0.3285,30.7314,32.878,35.5878,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,2,0.1725,0.2826,28.4575,29.4254,32.6823,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,3,0.1523,0.2571,29.5632,27.9379,32.6861,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,4,0.1584,0.2573,31.3994,29.5108,34.2176,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,5,0.1772,0.2601,41.4415,34.1898,39.5136,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,6,0.2859,0.3462,56.3259,40.5946,43.9711,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,7,0.4594,0.5623,66.7403,42.2403,35.0216,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,8,0.3922,0.4916,52.7504,35.7141,31.3122,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,9,0.3555,0.4694,47.5449,34.6223,29.6131,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,10,0.4047,0.5359,55.6353,39.8937,35.4459,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,11,0.3844,0.5232,48.0191,37.7806,33.6317,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,12,0.4257,0.5926,48.27,40.3345,38.1694,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,13,0.354,0.467,41.1671,36.2186,33.602,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,14,0.3803,0.5156,49.3245,40.6996,38.4343,207
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,15,0.3375,0.4791,43.7891,37.1957,37.0498,208
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,16,0.3139,0.4184,48.4949,38.8221,38.0753,208
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,17,0.3556,0.5051,48.3646,40.3906,40.0859,208
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,18,0.4283,0.629,52.9671,40.8677,40.1367,208
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,19,0.4699,0.6176,57.2112,39.7333,35.9279,208
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,20,0.459,0.5976,53.0205,35.8007,30.9194,208
hourly,test,gru_seq48_h128_l1_d0p0_lr0p001_bs64,21,0.5389,0.6836,52.9452,39.4596,35.1816,208
