Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,,0.3721,0.5412,38.1848,31.427,29.7651,5048
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,0,0.2258,0.3357,37.7842,32.2612,35.7116,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,1,0.1665,0.2808,28.8191,26.9479,31.3257,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,2,0.1407,0.2361,26.5278,24.5892,29.3492,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,3,0.1235,0.207,25.5794,23.9975,28.5262,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,4,0.1215,0.2066,25.5616,25.4793,29.4976,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,5,0.1533,0.2197,33.8321,31.6322,34.9256,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,6,0.3155,0.4228,42.6517,36.943,38.2318,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,7,0.5089,0.6528,41.467,33.6632,28.7395,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,8,0.3742,0.4987,30.6459,25.4915,22.6976,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,9,0.3362,0.4459,29.9848,24.3549,21.6738,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,10,0.3561,0.4837,29.1244,25.1172,23.5573,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,11,0.4105,0.6192,38.6723,29.7482,27.1877,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,12,0.4251,0.6126,43.2703,32.1298,29.1476,212
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,13,0.409,0.559,45.8626,34.9592,30.1349,212
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,14,0.4373,0.6213,49.1035,36.9723,34.8787,212
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,15,0.4298,0.6342,47.1337,37.1257,36.1634,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,16,0.3831,0.5476,40.7979,34.5786,32.7387,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,17,0.476,0.6925,45.9545,37.1737,35.8388,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,18,0.5269,0.6832,47.5429,36.2181,32.2646,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,19,0.6341,0.7816,38.9446,32.8421,30.484,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,20,0.638,0.7999,40.6734,31.135,27.85,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,21,0.509,0.6447,34.8996,27.5952,24.7022,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,22,0.4689,0.6021,41.9995,34.321,31.0853,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,23,0.3475,0.4615,48.9489,38.6644,39.0979,211
summary,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,,0.3309,0.4797,42.9076,35.2099,34.5106,5049
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,0,0.2422,0.4081,34.0023,32.1866,36.7124,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,1,0.1888,0.3153,27.4021,29.5081,33.2311,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,2,0.17,0.2744,28.1436,29.5359,32.2349,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,3,0.1367,0.2428,24.9617,25.5326,29.3793,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,4,0.1485,0.2496,27.0565,27.9351,32.0777,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,5,0.1595,0.2663,32.7337,30.0543,35.4566,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,6,0.2342,0.3053,40.8092,34.5741,35.9111,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,7,0.4396,0.5605,50.0879,38.3673,33.3893,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,8,0.3088,0.4184,36.0864,27.473,24.6013,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,9,0.348,0.4766,41.2703,32.5923,29.0234,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,10,0.379,0.5163,48.1666,37.1979,33.2586,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,11,0.3753,0.5274,45.5426,36.535,32.9391,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,12,0.3999,0.5647,46.4617,37.794,36.194,211
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,13,0.3505,0.4613,42.8728,35.7872,33.6536,211
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,14,0.3697,0.5123,49.8884,39.3337,37.6321,211
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,15,0.3407,0.4792,45.9493,37.4797,37.5424,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,16,0.3275,0.4243,53.239,40.5901,39.9014,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,17,0.3693,0.5037,54.8424,42.2979,41.7873,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,18,0.4462,0.6369,57.9442,42.7748,41.6537,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,19,0.4681,0.6188,59.5912,39.9404,36.1524,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,20,0.457,0.5998,50.105,35.0815,31.0592,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,21,0.5068,0.6639,47.2149,37.7146,33.4226,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,22,0.4176,0.5575,40.8351,35.5483,34.5568,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p001_bs64,23,0.3456,0.5143,43.5112,38.6584,40.7019,212
summary,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,,0.3732,0.5414,38.7537,31.6777,29.8545,5048
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,0,0.2295,0.3301,40.0637,33.2734,36.2873,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,1,0.1661,0.2788,29.8797,27.0148,31.2474,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,2,0.1485,0.2412,29.5867,26.4024,30.9813,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,3,0.1312,0.2126,29.0788,25.4913,30.3032,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,4,0.1269,0.2083,28.5104,26.3818,30.8098,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,5,0.1656,0.2251,37.8033,34.0313,37.7137,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,6,0.298,0.3975,40.7787,34.7859,36.1095,209
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,7,0.4997,0.6337,43.3019,33.7753,28.2239,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,8,0.3764,0.495,31.7338,25.521,22.8307,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,9,0.3357,0.4452,30.8459,24.331,21.6439,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,10,0.3588,0.4797,29.8524,25.2418,23.7372,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,11,0.4041,0.6133,38.0718,29.1398,26.7643,210
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,12,0.4169,0.6059,41.7337,31.148,28.5878,212
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,13,0.4075,0.5619,44.8651,34.814,30.0231,212
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,14,0.4292,0.6226,47.4299,36.1206,34.2314,212
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,15,0.4375,0.6457,46.7963,37.6876,36.8068,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,16,0.381,0.5583,38.9237,34.2557,32.5612,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,17,0.4768,0.6895,43.7534,37.0065,35.8985,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,18,0.5341,0.6992,45.993,36.5543,32.708,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,19,0.6356,0.7886,38.0007,32.8404,30.5588,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,20,0.6294,0.7959,39.6019,30.8157,27.4744,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,21,0.5163,0.6534,35.9834,27.9103,25.0563,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,22,0.4839,0.6011,44.2188,35.1751,32.0759,211
hourly,validation,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,23,0.3557,0.4672,52.7654,40.28,40.0133,211
summary,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,,0.3316,0.4785,43.2322,35.5097,34.5822,5049
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,0,0.2508,0.4103,36.7306,33.5323,38.0204,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,1,0.1964,0.3223,29.0869,31.4275,34.5674,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,2,0.1734,0.275,29.7321,30.7937,32.8828,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,3,0.1449,0.2449,28.0207,27.5073,31.1437,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,4,0.1518,0.2488,28.9544,28.6787,32.7895,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,5,0.1615,0.2545,34.2297,31.4448,35.9068,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,6,0.2358,0.3071,42.277,34.9014,36.16,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,7,0.4362,0.5539,51.9207,38.2198,33.1266,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,8,0.3288,0.4367,39.8635,29.5672,26.1978,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,9,0.3469,0.4727,42.4678,32.7526,28.9285,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,10,0.3767,0.5119,48.1984,36.7855,33.0611,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,11,0.3732,0.5303,45.2018,36.2005,32.7545,209
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,12,0.4018,0.5702,46.4491,38.0885,36.3702,211
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,13,0.3519,0.4665,42.1014,35.8054,33.7917,211
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,14,0.3697,0.5101,48.6443,39.4144,37.6321,211
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,15,0.3386,0.4778,44.2381,37.5822,37.3147,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,16,0.3198,0.4186,49.4562,39.4962,38.9538,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,17,0.369,0.5063,51.2198,41.656,41.7534,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,18,0.432,0.6357,52.5888,41.1998,40.3271,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,19,0.4527,0.6107,55.275,38.796,34.9591,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,20,0.4569,0.6019,49.9282,35.1629,31.0565,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,21,0.5075,0.6579,49.0375,37.7446,33.4642,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,22,0.4146,0.5431,43.8361,35.1734,34.3035,212
hourly,test,lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,23,0.3557,0.5093,47.2704,39.8479,41.884,212
summary,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,,0.3746,0.5447,37.2419,31.5454,29.9643,5048
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,0,0.2294,0.3429,36.395,32.6997,36.2817,209
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,1,0.1797,0.3039,29.7764,28.9258,33.7959,209
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,2,0.1474,0.2475,27.0769,27.4375,30.7568,209
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,3,0.1157,0.1999,23.7631,22.3867,26.7179,209
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,4,0.1199,0.2028,26.2513,24.7929,29.1113,209
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,5,0.1451,0.228,28.4592,29.7612,33.0623,209
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,6,0.28,0.3797,36.638,33.4306,33.9322,209
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,7,0.4994,0.6428,41.0477,33.2302,28.2021,210
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,8,0.3848,0.5023,32.6592,26.1135,23.3361,210
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,9,0.3389,0.4503,30.6966,24.2552,21.8464,210
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,10,0.362,0.4856,28.8394,25.6779,23.9449,210
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,11,0.4351,0.6331,36.5235,31.3535,28.8189,210
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,12,0.4305,0.624,39.7341,32.2366,29.5212,212
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,13,0.4159,0.5632,43.2991,36.2254,30.6438,212
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,14,0.427,0.6099,45.448,35.8006,34.0546,212
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,15,0.4367,0.6403,46.3706,37.423,36.7387,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,16,0.3953,0.5678,41.2178,35.477,33.777,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,17,0.4696,0.6815,43.3205,36.336,35.3577,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,18,0.5267,0.6948,45.0876,36.2391,32.2547,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,19,0.6298,0.7879,38.0176,32.4315,30.2793,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,20,0.649,0.8076,41.264,31.4619,28.3311,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,21,0.5152,0.6614,35.2423,27.5509,24.9993,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,22,0.4756,0.5937,43.5559,34.7624,31.5291,211
hourly,validation,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,23,0.3683,0.4805,52.469,40.752,41.4398,211
summary,test,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,,0.3331,0.4858,41.3227,35.9567,34.7476,5049
hourly,test,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,0,0.2482,0.4139,35.6927,34.264,37.621,209
hourly,test,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,1,0.2,0.3289,28.7746,32.4974,35.2051,209
hourly,test,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,2,0.1822,0.2925,28.4372,33.4002,34.5472,209
hourly,test,lstm_seq12_h32_l2_d0p0_lr0p001_bs64,3,0.1385,0.2451,24.6102,26.8522,29.7718,209
