Model,sequence_length,batch_size,hidden_size,num_layers,dropout,learning_rate,max_epochs,patience,validation_MAE,validation_RMSE,validation_MAPE,validation_sMAPE,validation_WAPE,test_MAE,test_RMSE,test_MAPE,test_sMAPE,test_WAPE
lstm_seq12_h32_l1_d0p0_lr0p001_bs64,12,64,32,1,0.0,0.001,80,10,0.3721,0.5412,38.1848,31.427,29.7651,0.3309,0.4797,42.9076,35.2099,34.5106
lstm_seq12_h32_l1_d0p0_lr0p0005_bs64,12,64,32,1,0.0,0.0005,80,10,0.3732,0.5414,38.7537,31.6777,29.8545,0.3316,0.4785,43.2322,35.5097,34.5822
lstm_seq12_h32_l2_d0p0_lr0p001_bs64,12,64,32,2,0.0,0.001,80,10,0.3746,0.5447,37.2419,31.5454,29.9643,0.3331,0.4858,41.3227,35.9567,34.7476
lstm_seq12_h32_l2_d0p0_lr0p0005_bs64,12,64,32,2,0.0,0.0005,80,10,0.3781,0.5458,38.8817,32.0242,30.2444,0.3328,0.4831,42.6454,35.6115,34.7096
lstm_seq12_h32_l2_d0p2_lr0p001_bs64,12,64,32,2,0.2,0.001,80,10,0.3734,0.5411,37.4102,31.3546,29.8705,0.3278,0.481,41.1813,34.335,34.1872
lstm_seq12_h32_l2_d0p2_lr0p0005_bs64,12,64,32,2,0.2,0.0005,80,10,0.3781,0.543,39.1361,32.106,30.2424,0.331,0.4797,43.0519,35.0495,34.5253
lstm_seq12_h32_l2_d0p3_lr0p001_bs64,12,64,32,2,0.3,0.001,80,10,0.373,0.5407,37.0766,31.3091,29.8394,0.3274,0.4833,40.4246,34.2106,34.1518
lstm_seq12_h32_l2_d0p3_lr0p0005_bs64,12,64,32,2,0.3,0.0005,80,10,0.3768,0.5424,38.8162,31.9405,30.1429,0.3292,0.4794,42.3227,34.7903,34.3349
lstm_seq12_h64_l1_d0p0_lr0p001_bs64,12,64,64,1,0.0,0.001,80,10,0.3745,0.5432,38.7055,31.7686,29.9535,0.3311,0.48,42.3344,35.2337,34.5344
lstm_seq12_h64_l1_d0p0_lr0p0005_bs64,12,64,64,1,0.0,0.0005,80,10,0.3779,0.542,40.6525,32.2267,30.2274,0.3323,0.4773,43.8954,35.6432,34.658
lstm_seq12_h64_l2_d0p0_lr0p001_bs64,12,64,64,2,0.0,0.001,80,10,0.3784,0.5469,39.241,32.1601,30.272,0.3306,0.4788,42.8232,35.1678,34.4865
lstm_seq12_h64_l2_d0p0_lr0p0005_bs64,12,64,64,2,0.0,0.0005,80,10,0.3742,0.5407,38.7923,31.6221,29.9324,0.3283,0.4789,41.9641,34.9164,34.2442
lstm_seq12_h64_l2_d0p2_lr0p001_bs64,12,64,64,2,0.2,0.001,80,10,0.3709,0.5411,37.5568,31.0112,29.6673,0.3257,0.4791,40.8143,34.3455,33.9671
lstm_seq12_h64_l2_d0p2_lr0p0005_bs64,12,64,64,2,0.2,0.0005,80,10,0.3745,0.5429,38.273,31.6786,29.9602,0.3276,0.4789,41.4915,34.8212,34.173
lstm_seq12_h64_l2_d0p3_lr0p001_bs64,12,64,64,2,0.3,0.001,80,10,0.3719,0.5416,37.9756,31.7839,29.7511,0.3278,0.479,41.8105,34.9841,34.1956
lstm_seq12_h64_l2_d0p3_lr0p0005_bs64,12,64,64,2,0.3,0.0005,80,10,0.3771,0.543,39.056,32.3856,30.1684,0.3308,0.48,41.9349,35.3258,34.5082
lstm_seq12_h128_l1_d0p0_lr0p001_bs64,12,64,128,1,0.0,0.001,80,10,0.377,0.5433,38.4782,31.9583,30.1599,0.3355,0.4839,43.6163,36.0548,34.9915
lstm_seq12_h128_l1_d0p0_lr0p0005_bs64,12,64,128,1,0.0,0.0005,80,10,0.3768,0.5437,38.782,31.9851,30.1443,0.3353,0.4814,44.0373,35.9494,34.9697
lstm_seq12_h128_l2_d0p0_lr0p001_bs64,12,64,128,2,0.0,0.001,80,10,0.3758,0.5478,37.6584,31.8223,30.0576,0.3345,0.4846,43.3896,35.7046,34.8909
lstm_seq12_h128_l2_d0p0_lr0p0005_bs64,12,64,128,2,0.0,0.0005,80,10,0.3812,0.5456,40.8631,32.266,30.4942,0.3345,0.4822,43.8011,35.308,34.8941
lstm_seq12_h128_l2_d0p2_lr0p001_bs64,12,64,128,2,0.2,0.001,80,10,0.3793,0.5459,39.9544,31.8196,30.3416,0.3323,0.4826,42.6054,34.8466,34.6582
lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,12,64,128,2,0.2,0.0005,80,10,0.381,0.5437,40.921,32.4561,30.4804,0.3333,0.4806,43.5645,35.2091,34.7663
lstm_seq12_h128_l2_d0p3_lr0p001_bs64,12,64,128,2,0.3,0.001,80,10,0.3812,0.5463,40.9082,32.089,30.4899,0.3337,0.4849,43.1438,34.8105,34.8075
lstm_seq12_h128_l2_d0p3_lr0p0005_bs64,12,64,128,2,0.3,0.0005,80,10,0.3801,0.5423,40.679,32.3765,30.4015,0.3329,0.481,43.2945,35.1365,34.7212
lstm_seq24_h32_l1_d0p0_lr0p001_bs64,24,64,32,1,0.0,0.001,80,10,0.3765,0.5373,40.3828,32.5011,30.1643,0.3339,0.4793,44.4141,35.8009,34.8059
lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,24,64,32,1,0.0,0.0005,80,10,0.3745,0.54,39.2568,31.9259,30.0088,0.3327,0.4814,43.5003,35.4893,34.6825
lstm_seq24_h32_l2_d0p0_lr0p001_bs64,24,64,32,2,0.0,0.001,80,10,0.3778,0.543,40.0993,32.1599,30.2666,0.3345,0.4797,44.9973,35.6706,34.8679
lstm_seq24_h32_l2_d0p0_lr0p0005_bs64,24,64,32,2,0.0,0.0005,80,10,0.3814,0.5448,40.5656,32.6995,30.5595,0.3355,0.4788,45.2269,36.1268,34.9734
lstm_seq24_h32_l2_d0p2_lr0p001_bs64,24,64,32,2,0.2,0.001,80,10,0.3733,0.5407,37.3402,31.4912,29.9109,0.3253,0.4808,39.2025,34.4975,33.9137
lstm_seq24_h32_l2_d0p2_lr0p0005_bs64,24,64,32,2,0.2,0.0005,80,10,0.3817,0.5427,40.3974,32.6804,30.5841,0.3325,0.4837,42.1984,35.1059,34.6668
lstm_seq24_h32_l2_d0p3_lr0p001_bs64,24,64,32,2,0.3,0.001,80,10,0.3761,0.5395,39.6413,32.1243,30.1307,0.3294,0.4749,43.8676,35.2695,34.3438
lstm_seq24_h32_l2_d0p3_lr0p0005_bs64,24,64,32,2,0.3,0.0005,80,10,0.3801,0.5422,39.9188,32.4643,30.4511,0.3302,0.4811,41.6564,34.9086,34.4182
lstm_seq24_h64_l1_d0p0_lr0p001_bs64,24,64,64,1,0.0,0.001,80,10,0.3756,0.5379,39.6317,31.9804,30.0895,0.3299,0.4784,42.4094,35.2164,34.392
lstm_seq24_h64_l1_d0p0_lr0p0005_bs64,24,64,64,1,0.0,0.0005,80,10,0.3736,0.5368,38.6431,31.822,29.9317,0.3322,0.4812,42.6918,35.3497,34.6301
lstm_seq24_h64_l2_d0p0_lr0p001_bs64,24,64,64,2,0.0,0.001,80,10,0.3783,0.5423,40.2767,32.4461,30.3074,0.3335,0.4782,44.6585,35.7594,34.7686
lstm_seq24_h64_l2_d0p0_lr0p0005_bs64,24,64,64,2,0.0,0.0005,80,10,0.3745,0.5387,39.3645,31.8546,30.0083,0.3281,0.4781,41.4523,34.9213,34.204
