epoch,train_loss,validation_loss
1,0.605672,0.425569
2,0.41009,0.392891
3,0.388807,0.377765
4,0.375926,0.365778
5,0.367547,0.366315
6,0.364286,0.354801
7,0.35872,0.361254
8,0.356137,0.356317
9,0.353216,0.353459
10,0.350782,0.359293
11,0.348751,0.354803
12,0.347261,0.352571
13,0.344762,0.349993
14,0.34437,0.348808
15,0.342068,0.363151
16,0.339921,0.362407
17,0.339244,0.360581
18,0.336238,0.34879
19,0.335618,0.35308
20,0.334671,0.351555
21,0.332613,0.357067
22,0.330962,0.354437
23,0.329966,0.361355
24,0.328751,0.358637
25,0.325612,0.358408
26,0.325379,0.353481
27,0.322543,0.35931
28,0.321058,0.358497
