Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,,0.3731,0.5418,36.7176,31.8956,29.8912,5024
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,0,0.2142,0.3151,36.381,31.8724,33.8659,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,1,0.1771,0.2966,29.9539,29.7863,33.314,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,2,0.1517,0.2483,27.9405,27.9379,31.6518,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,3,0.1286,0.2124,26.7104,25.5434,29.6996,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,4,0.1258,0.2103,26.4831,27.1572,30.5373,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,5,0.1517,0.2349,31.0379,30.9383,34.5642,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,6,0.2808,0.3707,39.2299,33.269,34.0308,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,7,0.4803,0.6156,39.5029,31.4585,27.1286,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,8,0.3779,0.5077,30.8972,26.2092,22.9168,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,9,0.3465,0.4663,30.6736,24.9769,22.3365,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,10,0.3748,0.5046,29.5542,26.9734,24.7939,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,11,0.4593,0.651,38.843,33.3969,30.4192,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,12,0.4386,0.6305,40.0251,32.8348,30.1075,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,13,0.4323,0.5754,43.3142,37.0715,31.8959,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,14,0.4325,0.6142,45.1186,36.891,34.5673,210
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,15,0.443,0.6507,44.6103,38.033,37.2085,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,16,0.3896,0.5644,38.9416,35.0253,33.3392,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,17,0.471,0.6913,41.8646,36.474,35.4025,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,18,0.5323,0.7066,44.2571,36.2189,32.5044,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,19,0.6259,0.7809,36.2952,33.0117,30.0891,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,20,0.6103,0.7709,37.1149,30.4652,26.8046,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,21,0.4956,0.6281,32.5542,27.1695,24.1772,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,22,0.4599,0.5822,40.02,33.8297,30.4192,209
hourly,validation,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,23,0.3526,0.4664,49.8793,38.977,39.5522,209
summary,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,,0.3289,0.48,40.8633,35.0443,34.2858,5025
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,0,0.2429,0.4073,35.1291,32.8686,36.8305,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,1,0.1968,0.3212,28.5755,32.0392,34.6385,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,2,0.176,0.287,27.8163,31.0581,33.3822,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,3,0.1406,0.2528,25.2318,26.0641,30.2089,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,4,0.1562,0.2591,28.6177,30.1183,33.7336,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,5,0.1515,0.2634,29.6638,28.7453,33.6907,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,6,0.2211,0.2941,37.8832,32.9168,33.9026,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,7,0.4463,0.5742,49.7627,38.3859,33.8948,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,8,0.307,0.4205,35.3611,27.3051,24.4619,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,9,0.3554,0.4831,41.5253,32.4283,29.6355,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,10,0.3901,0.525,46.892,37.5396,34.2352,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,11,0.3954,0.5442,43.698,37.5441,34.7038,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,12,0.4174,0.5797,45.1337,39.6388,37.6479,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,13,0.3501,0.4657,39.6882,35.717,33.4079,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,14,0.3801,0.5198,48.373,40.5292,38.5963,209
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,15,0.3361,0.4794,42.4619,36.6862,37.0667,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,16,0.3143,0.4195,47.5266,38.7196,38.3168,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,17,0.3521,0.5035,46.3585,39.5541,39.8452,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,18,0.4298,0.6364,50.2145,40.6834,40.133,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,19,0.43,0.6006,51.1513,37.53,33.0637,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,20,0.4543,0.5865,48.3547,35.336,30.8197,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,21,0.5006,0.6515,46.6211,37.1198,32.9195,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,22,0.4071,0.5481,40.9701,34.3706,33.6075,210
hourly,test,lstm_seq24_h128_l1_d0p0_lr0p001_bs64,23,0.3392,0.508,43.4731,38.0562,39.8746,210
