Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,random_forest_n100_depth10_leaf1,,0.3737,0.5477,39.8521,31.7992,29.9251,5072
hourly,validation,random_forest_n100_depth10_leaf1,0,0.2009,0.305,35.2394,29.4331,31.8579,211
hourly,validation,random_forest_n100_depth10_leaf1,1,0.152,0.2609,29.1137,25.1502,28.7042,211
hourly,validation,random_forest_n100_depth10_leaf1,2,0.1374,0.2404,27.047,24.1179,28.5913,211
hourly,validation,random_forest_n100_depth10_leaf1,3,0.114,0.2041,25.3995,21.9392,26.4043,211
hourly,validation,random_forest_n100_depth10_leaf1,4,0.1216,0.1889,28.8225,26.1762,29.5749,211
hourly,validation,random_forest_n100_depth10_leaf1,5,0.1416,0.206,30.0474,29.3176,32.3219,211
hourly,validation,random_forest_n100_depth10_leaf1,6,0.2886,0.3623,45.6202,35.9572,34.8559,211
hourly,validation,random_forest_n100_depth10_leaf1,7,0.5161,0.6407,45.0232,36.2494,29.1329,212
hourly,validation,random_forest_n100_depth10_leaf1,8,0.3856,0.4943,32.1411,26.9461,23.374,212
hourly,validation,random_forest_n100_depth10_leaf1,9,0.3162,0.4283,28.7112,23.1124,20.3635,212
hourly,validation,random_forest_n100_depth10_leaf1,10,0.3352,0.4812,27.5511,23.8038,22.1845,212
hourly,validation,random_forest_n100_depth10_leaf1,11,0.398,0.6236,39.0601,29.0333,26.3733,212
hourly,validation,random_forest_n100_depth10_leaf1,12,0.442,0.6472,42.9199,32.9694,30.3092,212
hourly,validation,random_forest_n100_depth10_leaf1,13,0.4138,0.5593,48.4048,35.6046,30.4921,212
hourly,validation,random_forest_n100_depth10_leaf1,14,0.4396,0.628,53.1742,38.0128,35.0592,212
hourly,validation,random_forest_n100_depth10_leaf1,15,0.4477,0.6548,54.0116,39.7375,37.6691,211
hourly,validation,random_forest_n100_depth10_leaf1,16,0.3993,0.567,46.559,36.8114,34.12,211
hourly,validation,random_forest_n100_depth10_leaf1,17,0.4803,0.7146,44.9697,37.2154,36.1626,211
hourly,validation,random_forest_n100_depth10_leaf1,18,0.5149,0.7075,43.8226,34.9121,31.53,211
hourly,validation,random_forest_n100_depth10_leaf1,19,0.6357,0.7975,36.814,34.0288,30.5605,211
hourly,validation,random_forest_n100_depth10_leaf1,20,0.6586,0.8294,40.021,32.6034,28.7515,211
hourly,validation,random_forest_n100_depth10_leaf1,21,0.5406,0.6731,39.7685,29.5503,26.2353,211
hourly,validation,random_forest_n100_depth10_leaf1,22,0.5064,0.6115,52.5271,36.9375,33.5712,211
hourly,validation,random_forest_n100_depth10_leaf1,23,0.3817,0.4819,59.6899,43.6029,42.9442,211
summary,test,random_forest_n100_depth10_leaf1,,0.3299,0.4744,44.8005,35.3065,34.4243,5073
hourly,test,random_forest_n100_depth10_leaf1,0,0.2349,0.3864,34.6025,31.2915,35.6301,211
hourly,test,random_forest_n100_depth10_leaf1,1,0.1877,0.3051,30.8643,29.3636,33.0574,211
hourly,test,random_forest_n100_depth10_leaf1,2,0.1716,0.2681,30.3028,29.2921,32.4883,211
hourly,test,random_forest_n100_depth10_leaf1,3,0.1286,0.2143,25.813,24.5988,27.5554,211
hourly,test,random_forest_n100_depth10_leaf1,4,0.1531,0.2375,31.4448,29.4735,33.0319,211
hourly,test,random_forest_n100_depth10_leaf1,5,0.1515,0.2491,32.5434,29.1784,33.7644,211
hourly,test,random_forest_n100_depth10_leaf1,6,0.259,0.325,52.9953,38.6879,39.7747,211
hourly,test,random_forest_n100_depth10_leaf1,7,0.4267,0.5441,50.4086,38.1118,32.271,211
hourly,test,random_forest_n100_depth10_leaf1,8,0.3264,0.4303,39.8102,30.2777,25.9508,211
hourly,test,random_forest_n100_depth10_leaf1,9,0.3307,0.456,40.2174,31.4234,27.6067,211
hourly,test,random_forest_n100_depth10_leaf1,10,0.3712,0.5095,48.4751,36.4706,32.6377,211
hourly,test,random_forest_n100_depth10_leaf1,11,0.3735,0.5276,46.8847,35.8299,32.8524,211
hourly,test,random_forest_n100_depth10_leaf1,12,0.3837,0.551,45.8627,35.825,34.729,211
hourly,test,random_forest_n100_depth10_leaf1,13,0.3545,0.4694,47.0492,36.6062,34.0411,211
hourly,test,random_forest_n100_depth10_leaf1,14,0.38,0.5165,56.6699,41.2428,38.6765,211
hourly,test,random_forest_n100_depth10_leaf1,15,0.3562,0.4833,51.5553,39.7578,39.25,212
hourly,test,random_forest_n100_depth10_leaf1,16,0.3276,0.4341,54.9319,40.2417,39.9042,212
hourly,test,random_forest_n100_depth10_leaf1,17,0.3521,0.4961,52.1603,40.4389,39.8353,212
hourly,test,random_forest_n100_depth10_leaf1,18,0.4605,0.6648,56.8582,42.6931,42.9828,212
hourly,test,random_forest_n100_depth10_leaf1,19,0.4325,0.5918,52.4715,37.8763,33.4022,212
hourly,test,random_forest_n100_depth10_leaf1,20,0.4743,0.6105,47.1632,35.7383,32.2406,212
hourly,test,random_forest_n100_depth10_leaf1,21,0.4978,0.6432,48.3693,36.3074,32.8276,212
hourly,test,random_forest_n100_depth10_leaf1,22,0.4321,0.5568,49.0005,35.855,35.7571,212
hourly,test,random_forest_n100_depth10_leaf1,23,0.3468,0.4899,48.4848,40.6247,40.8458,212
summary,validation,random_forest_n100_depth10_leaf5,,0.3738,0.5478,39.9147,31.8184,29.9285,5072
hourly,validation,random_forest_n100_depth10_leaf5,0,0.2011,0.2986,35.3395,29.6092,31.9021,211
hourly,validation,random_forest_n100_depth10_leaf5,1,0.1536,0.2617,29.4703,25.3814,29.0185,211
hourly,validation,random_forest_n100_depth10_leaf5,2,0.138,0.2421,27.0835,24.1655,28.7105,211
hourly,validation,random_forest_n100_depth10_leaf5,3,0.1142,0.2033,25.6054,22.0647,26.4547,211
hourly,validation,random_forest_n100_depth10_leaf5,4,0.1225,0.1887,29.1606,26.4014,29.7882,211
hourly,validation,random_forest_n100_depth10_leaf5,5,0.1433,0.2056,30.7527,29.8213,32.7219,211
hourly,validation,random_forest_n100_depth10_leaf5,6,0.2866,0.3628,45.2861,35.5989,34.6064,211
hourly,validation,random_forest_n100_depth10_leaf5,7,0.5182,0.6411,45.5814,36.4193,29.2491,212
hourly,validation,random_forest_n100_depth10_leaf5,8,0.3874,0.4956,32.3203,27.0786,23.4806,212
hourly,validation,random_forest_n100_depth10_leaf5,9,0.3156,0.4292,28.7596,23.024,20.3271,212
hourly,validation,random_forest_n100_depth10_leaf5,10,0.3363,0.4823,27.722,23.8692,22.2572,212
hourly,validation,random_forest_n100_depth10_leaf5,11,0.394,0.6185,38.5431,28.8057,26.1059,212
hourly,validation,random_forest_n100_depth10_leaf5,12,0.4424,0.6488,42.9241,33.0069,30.3365,212
hourly,validation,random_forest_n100_depth10_leaf5,13,0.413,0.5581,48.2297,35.5935,30.4316,212
hourly,validation,random_forest_n100_depth10_leaf5,14,0.4387,0.6278,53.1036,37.8784,34.987,212
hourly,validation,random_forest_n100_depth10_leaf5,15,0.4476,0.6541,54.2149,39.7451,37.6583,211
hourly,validation,random_forest_n100_depth10_leaf5,16,0.3991,0.5708,46.3345,36.6338,34.1074,211
hourly,validation,random_forest_n100_depth10_leaf5,17,0.4815,0.717,45.3605,37.3816,36.254,211
hourly,validation,random_forest_n100_depth10_leaf5,18,0.5135,0.7049,43.823,34.8356,31.4425,211
hourly,validation,random_forest_n100_depth10_leaf5,19,0.6359,0.798,37.0536,33.9401,30.5724,211
hourly,validation,random_forest_n100_depth10_leaf5,20,0.6629,0.833,40.2367,32.6846,28.9389,211
hourly,validation,random_forest_n100_depth10_leaf5,21,0.5391,0.6707,39.8378,29.5067,26.1624,211
hourly,validation,random_forest_n100_depth10_leaf5,22,0.5033,0.6116,52.2966,36.7809,33.3655,211
hourly,validation,random_forest_n100_depth10_leaf5,23,0.381,0.4814,58.9227,43.4559,42.8652,211
summary,test,random_forest_n100_depth10_leaf5,,0.329,0.4739,44.5783,35.213,34.3397,5073
hourly,test,random_forest_n100_depth10_leaf5,0,0.2339,0.3841,34.583,31.0595,35.4688,211
hourly,test,random_forest_n100_depth10_leaf5,1,0.1825,0.2987,29.9279,28.6624,32.1384,211
hourly,test,random_forest_n100_depth10_leaf5,2,0.1691,0.2658,29.8505,28.9324,32.0211,211
hourly,test,random_forest_n100_depth10_leaf5,3,0.1281,0.2118,25.7184,24.4993,27.4295,211
hourly,test,random_forest_n100_depth10_leaf5,4,0.1541,0.2371,31.7445,29.6726,33.2481,211
hourly,test,random_forest_n100_depth10_leaf5,5,0.1522,0.2468,32.9297,29.5387,33.9162,211
hourly,test,random_forest_n100_depth10_leaf5,6,0.2596,0.3256,53.0639,38.6145,39.8696,211
hourly,test,random_forest_n100_depth10_leaf5,7,0.4275,0.5429,50.992,38.2863,32.3277,211
hourly,test,random_forest_n100_depth10_leaf5,8,0.33,0.4363,40.4374,30.5585,26.2377,211
hourly,test,random_forest_n100_depth10_leaf5,9,0.3286,0.4533,39.9081,31.2707,27.4309,211
hourly,test,random_forest_n100_depth10_leaf5,10,0.3726,0.5101,48.6939,36.6338,32.7622,211
hourly,test,random_forest_n100_depth10_leaf5,11,0.3734,0.5294,46.5612,35.6868,32.8442,211
hourly,test,random_forest_n100_depth10_leaf5,12,0.3834,0.5511,45.7456,35.974,34.6985,211
hourly,test,random_forest_n100_depth10_leaf5,13,0.3527,0.4682,46.6348,36.3749,33.8695,211
hourly,test,random_forest_n100_depth10_leaf5,14,0.3803,0.5168,56.3434,41.1817,38.7138,211
hourly,test,random_forest_n100_depth10_leaf5,15,0.3527,0.4802,50.3764,39.4188,38.8643,212
hourly,test,random_forest_n100_depth10_leaf5,16,0.3249,0.4328,54.454,39.9778,39.5748,212
hourly,test,random_forest_n100_depth10_leaf5,17,0.3512,0.4944,52.0919,40.5207,39.7326,212
hourly,test,random_forest_n100_depth10_leaf5,18,0.4575,0.6623,56.0792,42.3726,42.7069,212
hourly,test,random_forest_n100_depth10_leaf5,19,0.431,0.5896,52.3172,37.7358,33.2888,212
hourly,test,random_forest_n100_depth10_leaf5,20,0.4751,0.6104,47.1289,35.744,32.2901,212
hourly,test,random_forest_n100_depth10_leaf5,21,0.4973,0.6432,48.1037,36.1359,32.7912,212
hourly,test,random_forest_n100_depth10_leaf5,22,0.4322,0.5569,48.7239,35.8936,35.7588,212
hourly,test,random_forest_n100_depth10_leaf5,23,0.344,0.4952,47.2082,40.218,40.5086,212
summary,validation,random_forest_n100_depth20_leaf1,,0.3808,0.5538,41.4146,32.3536,30.4907,5072
hourly,validation,random_forest_n100_depth20_leaf1,0,0.2112,0.3157,36.8272,30.8675,33.4971,211
hourly,validation,random_forest_n100_depth20_leaf1,1,0.1559,0.2613,30.1431,25.792,29.4522,211
hourly,validation,random_forest_n100_depth20_leaf1,2,0.1444,0.2463,29.0716,25.3667,30.0555,211
hourly,validation,random_forest_n100_depth20_leaf1,3,0.1228,0.2058,28.4851,24.1429,28.4326,211
hourly,validation,random_forest_n100_depth20_leaf1,4,0.1358,0.1979,33.5233,29.0245,33.0325,211
hourly,validation,random_forest_n100_depth20_leaf1,5,0.1589,0.2149,35.8069,32.6141,36.2779,211
hourly,validation,random_forest_n100_depth20_leaf1,6,0.2979,0.377,47.294,36.3938,35.9795,211
hourly,validation,random_forest_n100_depth20_leaf1,7,0.4977,0.6171,45.4973,35.0695,28.0933,212
hourly,validation,random_forest_n100_depth20_leaf1,8,0.3771,0.4931,32.3743,26.2379,22.8613,212
hourly,validation,random_forest_n100_depth20_leaf1,9,0.3177,0.4341,29.3169,22.8212,20.4594,212
hourly,validation,random_forest_n100_depth20_leaf1,10,0.3357,0.4887,28.2877,23.7821,22.2162,212
hourly,validation,random_forest_n100_depth20_leaf1,11,0.3979,0.61,40.4249,28.7209,26.3607,212
hourly,validation,random_forest_n100_depth20_leaf1,12,0.4584,0.6616,44.1018,33.766,31.4362,212
hourly,validation,random_forest_n100_depth20_leaf1,13,0.4277,0.5687,49.4695,36.3795,31.5158,212
