Model,validation_MAE,validation_RMSE,validation_MAPE,validation_sMAPE,validation_WAPE,test_MAE,test_RMSE,test_MAPE,test_sMAPE,test_WAPE,n_estimators,max_depth,min_samples_leaf
random_forest_n100_depth10_leaf1,0.3737,0.5477,39.8521,31.7992,29.9251,0.3299,0.4744,44.8005,35.3065,34.4243,100,10.0,1
random_forest_n100_depth10_leaf5,0.3738,0.5478,39.9147,31.8184,29.9285,0.329,0.4739,44.5783,35.213,34.3397,100,10.0,5
random_forest_n100_depth20_leaf1,0.3808,0.5538,41.4146,32.3536,30.4907,0.3353,0.4803,45.8537,35.7407,34.9906,100,20.0,1
random_forest_n100_depth20_leaf5,0.3773,0.55,40.5202,32.0913,30.2141,0.3313,0.4769,44.6962,35.3644,34.5787,100,20.0,5
random_forest_n100_depthnone_leaf1,0.3819,0.5543,41.6625,32.5229,30.5809,0.3367,0.4814,46.1978,35.9043,35.1387,100,,1
random_forest_n100_depthnone_leaf5,0.3775,0.5502,40.5371,32.1048,30.2271,0.3314,0.477,44.7043,35.376,34.5867,100,,5
random_forest_n200_depth10_leaf1,0.3738,0.5481,39.8615,31.8093,29.9321,0.3294,0.4739,44.7848,35.2965,34.3758,200,10.0,1
random_forest_n200_depth10_leaf5,0.3737,0.5477,39.88,31.814,29.9252,0.3285,0.4736,44.5203,35.1838,34.2816,200,10.0,5
random_forest_n200_depth20_leaf1,0.3799,0.5531,41.2899,32.3011,30.4211,0.3351,0.4797,45.9223,35.8038,34.9738,200,20.0,1
random_forest_n200_depth20_leaf5,0.377,0.5498,40.4385,32.0634,30.1853,0.3304,0.4759,44.5705,35.3164,34.4847,200,20.0,5
random_forest_n200_depthnone_leaf1,0.381,0.5533,41.5592,32.4515,30.5115,0.3366,0.4806,46.2645,35.9615,35.1321,200,,1
random_forest_n200_depthnone_leaf5,0.3771,0.5499,40.4575,32.0792,30.1995,0.3305,0.4759,44.5836,35.3336,34.4965,200,,5
