Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,random_forest_n100_depthnone_leaf1,,0.3819,0.5543,41.6625,32.5229,30.5809,5072
hourly,validation,random_forest_n100_depthnone_leaf1,0,0.2111,0.3156,36.9696,30.9512,33.4749,211
hourly,validation,random_forest_n100_depthnone_leaf1,1,0.1573,0.2614,30.5052,26.0715,29.7097,211
hourly,validation,random_forest_n100_depthnone_leaf1,2,0.1438,0.2437,29.126,25.4372,29.9308,211
hourly,validation,random_forest_n100_depthnone_leaf1,3,0.1227,0.2061,28.6549,24.2257,28.4238,211
hourly,validation,random_forest_n100_depthnone_leaf1,4,0.1383,0.1986,34.3978,29.6547,33.6304,211
hourly,validation,random_forest_n100_depthnone_leaf1,5,0.1596,0.2141,36.1595,32.8313,36.4293,211
hourly,validation,random_forest_n100_depthnone_leaf1,6,0.298,0.3756,47.3725,36.5148,35.9911,211
hourly,validation,random_forest_n100_depthnone_leaf1,7,0.4963,0.6166,45.7886,35.0811,28.0153,212
hourly,validation,random_forest_n100_depthnone_leaf1,8,0.3787,0.4927,32.4828,26.3717,22.9565,212
hourly,validation,random_forest_n100_depthnone_leaf1,9,0.316,0.4335,29.4084,22.8198,20.3478,212
hourly,validation,random_forest_n100_depthnone_leaf1,10,0.3351,0.4881,28.2449,23.7354,22.1736,212
hourly,validation,random_forest_n100_depthnone_leaf1,11,0.4015,0.6143,40.8919,29.0524,26.5997,212
hourly,validation,random_forest_n100_depthnone_leaf1,12,0.457,0.6607,43.9214,33.5587,31.34,212
hourly,validation,random_forest_n100_depthnone_leaf1,13,0.4324,0.5718,49.8023,36.815,31.864,212
hourly,validation,random_forest_n100_depthnone_leaf1,14,0.4472,0.6339,53.9016,37.8602,35.663,212
hourly,validation,random_forest_n100_depthnone_leaf1,15,0.463,0.6819,54.1216,39.8347,38.954,211
hourly,validation,random_forest_n100_depthnone_leaf1,16,0.4093,0.5715,47.5699,37.2488,34.976,211
hourly,validation,random_forest_n100_depthnone_leaf1,17,0.4913,0.7228,46.2692,37.9456,36.9875,211
hourly,validation,random_forest_n100_depthnone_leaf1,18,0.522,0.7142,46.079,35.35,31.9656,211
hourly,validation,random_forest_n100_depthnone_leaf1,19,0.6299,0.7841,38.9587,33.4342,30.2828,211
hourly,validation,random_forest_n100_depthnone_leaf1,20,0.6715,0.8379,41.889,33.1845,29.3134,211
hourly,validation,random_forest_n100_depthnone_leaf1,21,0.5627,0.6993,41.2576,30.4492,27.3044,211
hourly,validation,random_forest_n100_depthnone_leaf1,22,0.5245,0.6347,53.7285,37.7406,34.7696,211
hourly,validation,random_forest_n100_depthnone_leaf1,23,0.3956,0.5037,62.4419,44.4528,44.5113,211
summary,test,random_forest_n100_depthnone_leaf1,,0.3367,0.4814,46.1978,35.9043,35.1387,5073
hourly,test,random_forest_n100_depthnone_leaf1,0,0.2366,0.3846,35.3301,31.8905,35.889,211
hourly,test,random_forest_n100_depthnone_leaf1,1,0.1905,0.3013,31.8102,29.9304,33.5461,211
hourly,test,random_forest_n100_depthnone_leaf1,2,0.1804,0.2786,32.698,30.8388,34.151,211
hourly,test,random_forest_n100_depthnone_leaf1,3,0.1355,0.2229,27.6053,25.6839,29.0156,211
hourly,test,random_forest_n100_depthnone_leaf1,4,0.1623,0.2407,34.1577,31.1813,35.0075,211
hourly,test,random_forest_n100_depthnone_leaf1,5,0.1671,0.2609,37.5712,32.2084,37.2347,211
hourly,test,random_forest_n100_depthnone_leaf1,6,0.2704,0.3387,54.3926,39.2292,41.5172,211
hourly,test,random_forest_n100_depthnone_leaf1,7,0.421,0.5443,53.2712,38.2035,31.8374,211
hourly,test,random_forest_n100_depthnone_leaf1,8,0.3349,0.4406,42.1122,30.9015,26.63,211
hourly,test,random_forest_n100_depthnone_leaf1,9,0.3427,0.4606,41.3498,32.4197,28.6025,211
hourly,test,random_forest_n100_depthnone_leaf1,10,0.3758,0.5102,49.5987,36.507,33.0438,211
hourly,test,random_forest_n100_depthnone_leaf1,11,0.3726,0.5306,47.1533,35.3488,32.7799,211
hourly,test,random_forest_n100_depthnone_leaf1,12,0.3935,0.5651,46.7129,36.4883,35.62,211
hourly,test,random_forest_n100_depthnone_leaf1,13,0.3544,0.4722,46.3063,35.9525,34.0245,211
hourly,test,random_forest_n100_depthnone_leaf1,14,0.4003,0.5425,57.0293,42.3252,40.7457,211
hourly,test,random_forest_n100_depthnone_leaf1,15,0.3568,0.49,49.4131,39.1545,39.3111,212
hourly,test,random_forest_n100_depthnone_leaf1,16,0.3372,0.4472,55.3406,40.4482,41.074,212
hourly,test,random_forest_n100_depthnone_leaf1,17,0.3746,0.5132,55.4507,42.9745,42.3847,212
hourly,test,random_forest_n100_depthnone_leaf1,18,0.4453,0.6505,55.7532,41.2272,41.5624,212
hourly,test,random_forest_n100_depthnone_leaf1,19,0.4553,0.6107,58.1521,39.4371,35.1618,212
hourly,test,random_forest_n100_depthnone_leaf1,20,0.4777,0.6225,48.7962,36.0894,32.4693,212
hourly,test,random_forest_n100_depthnone_leaf1,21,0.5086,0.6497,49.449,36.8038,33.5408,212
hourly,test,random_forest_n100_depthnone_leaf1,22,0.4395,0.5714,50.2867,36.0772,36.3682,212
hourly,test,random_forest_n100_depthnone_leaf1,23,0.3446,0.485,48.7423,40.2435,40.5864,212
