Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,random_forest_n200_depth10_leaf1,,0.3738,0.5481,39.8615,31.8093,29.9321,5072
hourly,validation,random_forest_n200_depth10_leaf1,0,0.2026,0.3067,35.631,29.7393,32.1298,211
hourly,validation,random_forest_n200_depth10_leaf1,1,0.1521,0.2592,29.0818,25.2045,28.7255,211
hourly,validation,random_forest_n200_depth10_leaf1,2,0.1388,0.2416,27.2611,24.3305,28.8815,211
hourly,validation,random_forest_n200_depth10_leaf1,3,0.1137,0.2027,25.416,21.9411,26.3408,211
hourly,validation,random_forest_n200_depth10_leaf1,4,0.1219,0.1889,29.0551,26.2547,29.6437,211
hourly,validation,random_forest_n200_depth10_leaf1,5,0.141,0.2061,29.9197,29.2103,32.2007,211
hourly,validation,random_forest_n200_depth10_leaf1,6,0.2876,0.3611,45.3035,35.8046,34.7258,211
hourly,validation,random_forest_n200_depth10_leaf1,7,0.515,0.6385,44.7737,36.2281,29.0659,212
hourly,validation,random_forest_n200_depth10_leaf1,8,0.3845,0.4936,31.924,26.8824,23.3052,212
hourly,validation,random_forest_n200_depth10_leaf1,9,0.3162,0.4281,28.5669,23.0775,20.3651,212
hourly,validation,random_forest_n200_depth10_leaf1,10,0.3348,0.4807,27.4459,23.7266,22.1569,212
hourly,validation,random_forest_n200_depth10_leaf1,11,0.3981,0.6224,38.9896,29.0211,26.3745,212
hourly,validation,random_forest_n200_depth10_leaf1,12,0.4402,0.6466,42.6568,32.855,30.1838,212
hourly,validation,random_forest_n200_depth10_leaf1,13,0.4133,0.5589,48.2503,35.5639,30.4557,212
hourly,validation,random_forest_n200_depth10_leaf1,14,0.4387,0.6296,53.2382,38.0089,34.9855,212
hourly,validation,random_forest_n200_depth10_leaf1,15,0.4466,0.6526,54.0873,39.7067,37.5709,211
hourly,validation,random_forest_n200_depth10_leaf1,16,0.3981,0.5663,46.4989,36.7736,34.0202,211
hourly,validation,random_forest_n200_depth10_leaf1,17,0.4817,0.7145,44.9324,37.2716,36.2663,211
hourly,validation,random_forest_n200_depth10_leaf1,18,0.5138,0.706,43.7083,34.8196,31.4632,211
hourly,validation,random_forest_n200_depth10_leaf1,19,0.6363,0.7995,36.9636,34.046,30.593,211
hourly,validation,random_forest_n200_depth10_leaf1,20,0.6616,0.8346,40.012,32.6544,28.8811,211
hourly,validation,random_forest_n200_depth10_leaf1,21,0.5404,0.6729,39.8098,29.5601,26.222,211
hourly,validation,random_forest_n200_depth10_leaf1,22,0.5078,0.6143,52.7463,37.0038,33.6602,211
hourly,validation,random_forest_n200_depth10_leaf1,23,0.3855,0.4868,60.419,43.7817,43.3703,211
summary,test,random_forest_n200_depth10_leaf1,,0.3294,0.4739,44.7848,35.2965,34.3758,5073
hourly,test,random_forest_n200_depth10_leaf1,0,0.2345,0.3869,34.4417,31.18,35.5738,211
hourly,test,random_forest_n200_depth10_leaf1,1,0.1868,0.3035,30.6806,29.1771,32.8931,211
hourly,test,random_forest_n200_depth10_leaf1,2,0.1707,0.2662,30.3685,29.2225,32.3228,211
hourly,test,random_forest_n200_depth10_leaf1,3,0.1278,0.2129,25.7533,24.5409,27.3725,211
hourly,test,random_forest_n200_depth10_leaf1,4,0.1546,0.2377,31.9749,29.8325,33.344,211
hourly,test,random_forest_n200_depth10_leaf1,5,0.1526,0.2502,32.8925,29.3917,34.0086,211
hourly,test,random_forest_n200_depth10_leaf1,6,0.2585,0.3248,52.5926,38.5609,39.6985,211
hourly,test,random_forest_n200_depth10_leaf1,7,0.429,0.546,50.9077,38.4099,32.4407,211
hourly,test,random_forest_n200_depth10_leaf1,8,0.3251,0.4301,39.6767,30.1177,25.8454,211
hourly,test,random_forest_n200_depth10_leaf1,9,0.3293,0.4557,39.9446,31.3352,27.4841,211
hourly,test,random_forest_n200_depth10_leaf1,10,0.3712,0.5102,48.4223,36.506,32.6348,211
hourly,test,random_forest_n200_depth10_leaf1,11,0.3716,0.5262,46.6971,35.7098,32.687,211
hourly,test,random_forest_n200_depth10_leaf1,12,0.3817,0.5488,45.7367,35.7867,34.5492,211
hourly,test,random_forest_n200_depth10_leaf1,13,0.3541,0.4675,46.9976,36.5826,33.9989,211
hourly,test,random_forest_n200_depth10_leaf1,14,0.3801,0.5157,56.8218,41.2819,38.689,211
hourly,test,random_forest_n200_depth10_leaf1,15,0.3558,0.4822,51.5678,39.7178,39.2082,212
hourly,test,random_forest_n200_depth10_leaf1,16,0.3274,0.4333,55.0485,40.2713,39.8912,212
hourly,test,random_forest_n200_depth10_leaf1,17,0.3507,0.4955,51.9617,40.3489,39.6812,212
hourly,test,random_forest_n200_depth10_leaf1,18,0.4595,0.6645,56.6538,42.6163,42.8922,212
hourly,test,random_forest_n200_depth10_leaf1,19,0.4322,0.5906,52.177,37.84,33.3793,212
hourly,test,random_forest_n200_depth10_leaf1,20,0.4742,0.6093,47.1052,35.7835,32.2331,212
hourly,test,random_forest_n200_depth10_leaf1,21,0.4938,0.6402,48.0569,36.1252,32.5622,212
hourly,test,random_forest_n200_depth10_leaf1,22,0.4318,0.5574,48.9751,35.797,35.7276,212
hourly,test,random_forest_n200_depth10_leaf1,23,0.3491,0.4929,49.1066,40.83,41.1071,212
