datetime,Global_active_power,Global_reactive_power,Global_intensity,Energy_kWh,hour,day_of_week,month,is_weekend,is_night,lag_1h,lag_24h,lag_168h,rolling_mean_24h,rolling_std_7d,is_holiday
2006-12-24 00:00:00,4.028,0.0907,17.08,4.028,0,6,12,1,1,5.5625,1.6982,1.8825,3.4119,1.2479,0
2006-12-24 01:00:00,3.2757,0.0518,14.0167,3.2757,1,6,12,1,1,4.028,1.7228,3.3494,3.4766,1.2473,0
2006-12-24 02:00:00,2.303,0.1037,10.0667,2.303,2,6,12,1,1,3.2757,1.7008,1.5873,3.5017,1.2477,0
2006-12-24 03:00:00,1.6068,0.0719,7.3467,1.6068,3,6,12,1,1,2.303,1.7715,1.6622,3.4949,1.2478,0
2006-12-24 04:00:00,1.5761,0.0679,7.2667,1.5761,4,6,12,1,1,1.6068,1.8916,2.2158,3.4817,1.2476,0
2006-12-24 05:00:00,1.6319,0.1085,7.5333,1.6319,5,6,12,1,1,1.5761,2.2291,1.9967,3.4568,1.2476,0
2006-12-24 06:00:00,1.8952,0.0507,8.4467,1.8952,6,6,12,1,1,1.6319,1.6494,1.3033,3.4671,1.2469,0
2006-12-24 07:00:00,1.4764,0.0997,6.97,1.4764,7,6,12,1,0,1.8952,4.0234,1.62,3.3609,1.2471,0
2006-12-24 08:00:00,1.4278,0.0523,6.5967,1.4278,8,6,12,1,0,1.4764,4.1908,1.8906,3.2458,1.2475,0
2006-12-24 09:00:00,2.7257,0.0939,11.81,2.7257,9,6,12,1,0,1.4278,3.2464,2.5491,3.2241,1.2482,0
