datetime,Global_active_power,Global_reactive_power,Global_intensity,Energy_kWh,hour,day_of_week,month,is_weekend,is_night,lag_1h,lag_24h,lag_168h,rolling_mean_24h,rolling_std_7d,is_holiday
2006-12-24 00:00:00,4.028,0.0907,17.08,4.028,0,6,12,1,1,5.5625,1.6982,1.8825,3.4119,1.2479,0
2006-12-24 01:00:00,3.2757,0.0518,14.0167,3.2757,1,6,12,1,1,4.028,1.7228,3.3494,3.4766,1.2473,0
2006-12-24 02:00:00,2.303,0.1037,10.0667,2.303,2,6,12,1,1,3.2757,1.7008,1.5873,3.5017,1.2477,0
2006-12-24 03:00:00,1.6068,0.0719,7.3467,1.6068,3,6,12,1,1,2.303,1.7715,1.6622,3.4949,1.2478,0
2006-12-24 04:00:00,1.5761,0.0679,7.2667,1.5761,4,6,12,1,1,1.6068,1.8916,2.2158,3.4817,1.2476,0
2006-12-24 05:00:00,1.6319,0.1085,7.5333,1.6319,5,6,12,1,1,1.5761,2.2291,1.9967,3.4568,1.2476,0
2006-12-24 06:00:00,1.8952,0.0507,8.4467,1.8952,6,6,12,1,1,1.6319,1.6494,1.3033,3.4671,1.2469,0
2006-12-24 07:00:00,1.4764,0.0997,6.97,1.4764,7,6,12,1,0,1.8952,4.0234,1.62,3.3609,1.2471,0
2006-12-24 08:00:00,1.4278,0.0523,6.5967,1.4278,8,6,12,1,0,1.4764,4.1908,1.8906,3.2458,1.2475,0
2006-12-24 09:00:00,2.7257,0.0939,11.81,2.7257,9,6,12,1,0,1.4278,3.2464,2.5491,3.2241,1.2482,0
2006-12-24 10:00:00,2.6753,0.1063,11.3767,2.6753,10,6,12,1,0,2.7257,2.9722,3.6289,3.2118,1.2421,0
2006-12-24 11:00:00,2.0929,0.1155,8.8133,2.0929,11,6,12,1,0,2.6753,3.159,2.471,3.1673,1.2413,0
2006-12-24 12:00:00,1.5,0.2191,6.4467,1.5,12,6,12,1,0,2.0929,2.9288,1.9159,3.1078,1.2415,0
2006-12-24 13:00:00,3.2399,0.159,13.7867,3.2399,13,6,12,1,0,1.5,3.4063,1.6608,3.1009,1.2463,0
2006-12-24 14:00:00,1.3715,0.1094,5.6433,1.3715,14,6,12,1,0,3.2399,3.758,2.0926,3.0014,1.2466,0
2006-12-24 15:00:00,3.0968,0.2334,12.8233,3.0968,15,6,12,1,0,1.3715,4.0491,2.9854,2.9618,1.2472,0
2006-12-24 16:00:00,2.0071,0.1261,8.3133,2.0071,16,6,12,1,0,3.0968,4.3491,3.326,2.8642,1.2419,0
2006-12-24 17:00:00,1.6865,0.0978,7.13,1.6865,17,6,12,1,0,2.0071,5.4525,3.4068,2.7072,1.2358,0
2006-12-24 18:00:00,0.5052,0.1194,2.11,0.5052,18,6,12,1,0,1.6865,3.8794,3.6971,2.5667,1.231,0
2006-12-24 19:00:00,0.454,0.0572,1.85,0.454,19,6,12,1,0,0.5052,4.1178,2.9084,2.414,1.2322,0
2006-12-24 20:00:00,0.4741,0.0754,1.9567,0.4741,20,6,12,1,0,0.454,4.1814,3.3615,2.2595,1.23,0
